gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,qvalue,comparison
ENSDARG00000044491,511.4967325219342,-4.593087637205561,0.3332092693414109,-13.784393352213197,3.16415229767314e-43,6.870956714397224e-39,kif20a,2.809767240333752e-39,Q1_genotype
ENSDARG00000039354,244.49036288899893,-4.9430507088176885,0.3782849046406268,-13.067004916608077,5.082762558201765e-39,5.518609447567566e-35,ska1,2.2567465758415866e-35,Q1_genotype
ENSDARG00000007751,765.4578088848036,-4.087071463674216,0.3247625330020854,-12.584799810167672,2.559909222261088e-36,1.8529476253799843e-32,lmnl3,7.57733129789283e-33,Q1_genotype
ENSDARG00000100236,385.33840738011327,-5.11286335142154,0.41632252137015524,-12.281015532368132,1.1455124970446377e-34,6.2187009683310766e-31,cspp1a,2.5430377434390987e-31,Q1_genotype
ENSDARG00000022007,247.65591539481213,-6.049067478176158,0.5035468671101014,-12.012918505266994,3.0392634889490427e-33,1.3199521332505693e-29,zgc_66426,5.3977319563735065e-30,Q1_genotype
ENSDARG00000059412,344.90894821232615,-5.792893165339073,0.49972624751843137,-11.592133081073381,4.517402043655116e-31,1.4013626482567265e-27,zgc_111976,5.730647163951068e-28,Q1_genotype
ENSDARG00000053558,162.19034044200043,-5.835038586385607,0.5031318693066835,-11.597433878371287,4.24620164574464e-31,1.4013626482567265e-27,rtkn2a,5.730647163951068e-28,Q1_genotype
ENSDARG00000025012,350.0239921365853,-4.206155972977547,0.36723701704176837,-11.453518511994538,2.2579074171837522e-30,6.128807445518147e-27,tpi1a,2.506277233073968e-27,Q1_genotype
ENSDARG00000029944,331.2926053666812,-4.680010608432715,0.4120006012109333,-11.359232473635823,6.672830295937487e-30,1.6100056652920283e-26,parpbp,6.583859225324995e-27,Q1_genotype
ENSDARG00000004874,360.1131721626866,-4.168300601984899,0.37061743827370086,-11.24690899975033,2.3985080053541294e-29,5.208360133626492e-26,spata6l,2.1298751087544692e-26,Q1_genotype
ENSDARG00000001313,491.8818516554507,-4.268405122679975,0.3870339283399878,-11.028503730893636,2.784592457334018e-28,5.497038655546199e-25,g2e3,2.247925547375101e-25,Q1_genotype
ENSDARG00000005590,500.4977572061979,-2.740035548890783,0.2507989470731416,-10.925227481484178,8.73213221821017e-28,1.5801520926536152e-24,mtf2,6.461777841475533e-25,Q1_genotype
