gene_id,gene_name,human_symbol,n_regulating_tfs,interaction_pattern,direction_18mo,affected_by,geno_18mo_log2FC,geno_18mo_q,interaction_log2FC,interaction_q,sig_interaction
ENSDARG00000053574,fancd2,FANCD2,2,age_dependent_onset,down_in_MUT,both,-3.4508,2.1165378458556636e-05,-5.2042,4.501494566472981e-05,True
ENSDARG00000040266,sox19b,SRY,2,age_dependent_onset,down_in_MUT,both,-4.8618,2.351230234817505e-07,-6.0987,6.47917576947939e-05,True
ENSDARG00000098387,tmem176l.3a,MS4A2,2,age_dependent_onset,up_in_MUT,both,1.4791,0.0010461229392671,3.0211,7.311443716026775e-05,True
ENSDARG00000003200,foxm1,FOXM1,9,age_dependent_onset,down_in_MUT,both,-5.3182,0.0003174381967606,-9.3587,8.051378355563355e-05,True
ENSDARG00000055232,fancc,FANCC,1,age_dependent_onset,down_in_MUT,both,-4.8189,1.5393370219945664e-06,-5.8063,8.051378355563355e-05,True
ENSDARG00000097285,ANPEP,ANPEP,3,age_dependent_onset,down_in_MUT,both,-5.8879,8.514301771265789e-05,-9.3394,8.051378355563355e-05,True
ENSDARG00000015460,racgap1,RACGAP1,1,age_dependent_onset,down_in_MUT,both,-3.6466,0.0007067086848748,-6.5953,0.0001308862179753,True
ENSDARG00000100918,prc1a,PRC1,2,age_dependent_onset,down_in_MUT,both,-3.6974,0.0003711871731179,-6.2256,0.0001695688011914,True
ENSDARG00000086126,trim33l,TRIM28,5,age_dependent_onset,down_in_MUT,both,-1.941,8.266101473517472e-05,-2.8843,0.0002128480373705,True
ENSDARG00000009743,efhc1,EFHC1,2,age_dependent_onset,down_in_MUT,both,-6.0847,3.172527546676783e-05,-8.3603,0.0002377254590771,True
ENSDARG00000002403,nusap1,NUSAP1,2,age_dependent_onset,down_in_MUT,both,-3.5428,0.0008866026563481,-6.2768,0.0002444843766597,True
ENSDARG00000074927,bub1bb,BUB1B,1,age_dependent_onset,down_in_MUT,both,-3.5392,0.002983458720863,-6.9779,0.0003888311832276,True
ENSDARG00000004576,plk4,PLK4,8,age_dependent_onset,down_in_MUT,both,-3.7091,0.0003090851811753,-5.7553,0.0003944872440201,True
ENSDARG00000098175,dgkab,DGKA,1,age_dependent_onset,down_in_MUT,both,-3.8579,7.988401095751969e-05,-5.5761,0.0004017917819088,True
ENSDARG00000099375,poldip3,POLDIP3,1,age_dependent_onset,down_in_MUT,both,-1.1434,0.000790010480103,-1.9439,0.0004204846093727,True
ENSDARG00000003867,cdk20,CDK20,1,age_dependent_onset,down_in_MUT,both,-4.1599,0.0004727628030568,-6.6108,0.0004496770804258,True
ENSDARG00000028900,odf2a,ODF2,1,age_dependent_onset,down_in_MUT,both,-2.9477,0.0011578330246072,-5.1092,0.0004859350672897,True
ENSDARG00000045308,pola1,POLA1,2,age_dependent_onset,down_in_MUT,both,-2.3702,0.0004918932550023,-3.7697,0.0004859350672897,True
ENSDARG00000043719,c3a.6,C3,4,age_dependent_onset,down_in_MUT,both,-4.6896,0.0005569045092467,-7.5028,0.0005095237894661,True
ENSDARG00000104288,hfm1,HFM1,1,age_dependent_onset,down_in_MUT,both,-3.8587,0.0003669272585601,-5.9141,0.000530080599906,True
ENSDARG00000027689,pold1,POLD1,4,age_dependent_onset,down_in_MUT,both,-2.548,0.0006528679227675,-4.0719,0.000530080599906,True
ENSDARG00000053291,pnrc2,PNRC2,1,age_dependent_onset,down_in_MUT,both,-3.5486,1.6921754498609884e-08,-3.3934,0.000530080599906,True
ENSDARG00000088123,znf217,ZNF217,1,age_dependent_onset,down_in_MUT,both,-1.8409,0.0012547862462555,-3.1819,0.0005386166887625,True
ENSDARG00000009942,cdc6,CDC6,8,age_dependent_onset,down_in_MUT,both,-3.2342,0.0015597907499716,-5.6588,0.0005741353334708,True
ENSDARG00000077089,blm,BLM,1,age_dependent_onset,down_in_MUT,both,-2.7619,0.0011736484921337,-4.6921,0.0005911434610312,True
ENSDARG00000014017,rrm1,RRM1,5,age_dependent_onset,down_in_MUT,both,-2.0093,0.000311611167688,-3.0104,0.0006018341530804,True
ENSDARG00000102349,cep55l,CEP55,1,age_dependent_onset,down_in_MUT,both,-4.0588,0.0002686489796477,-5.9574,0.0006273252698342,True
ENSDARG00000007788,atp2b1b,ATP2B1,1,age_dependent_onset,down_in_MUT,both,-3.8129,0.001411223084263,-6.5383,0.0006407693688419,True
ENSDARG00000102406,si_ch211-165e15.1,DST,2,transient_early,up_in_MUT,both,1.3873,0.0868887121661209,5.4938,0.0006918936998197,True
ENSDARG00000038882,smc4,SMC4,1,age_dependent_onset,down_in_MUT,both,-2.5959,0.001411223084263,-4.4263,0.0006944361294588,True
ENSDARG00000023002,dtl,DTL,2,age_dependent_onset,down_in_MUT,both,-3.4579,0.0012804301411623,-5.8082,0.0007440517210702,True
ENSDARG00000015208,rbb4l,RBBP7,1,age_dependent_onset,down_in_MUT,both,-1.3309,0.0007655869633969,-2.1081,0.000755549281246,True
