,gene_name,log2FC_full,log2FC_reduced,qvalue_full,qvalue_reduced,sig_full,sig_reduced,same_direction
ENSDARG00000102595,si_dkey-250k10.1,9.082402979534947,9.539337693583782,1.478217646103275e-20,1.2979190052471482e-50,True,True,True
ENSDARG00000104613,znf1179,-5.875396606795282,-5.664538266566642,1.0674009698251327e-17,2.112647501536767e-46,True,True,True
ENSDARG00000079986,BX927329.1,-8.474811740162822,-8.927286035680766,5.663768119200951e-16,8.334048279499315e-09,True,True,True
ENSDARG00000075963,mhc1uba,-11.96642883062548,-11.586191689914127,9.301945643927512e-16,1.792042410280629e-10,True,True,True
ENSDARG00000074345,si_ch211-214b16.4,-7.387878577405509,-7.14974031376248,3.643255000504521e-13,1.994420469853742e-34,True,True,True
ENSDARG00000061417,nub1,-4.2758230436041575,-4.264079844452066,3.2676982792411393e-12,1.5388711988673934e-10,True,True,True
ENSDARG00000101324,apoa1b,11.901533172054014,12.319179771050601,5.0683174642758876e-11,6.613995458593293e-14,True,True,True
ENSDARG00000099307,si_dkey-10p5.10,-4.253873880257479,-5.065074058120879,6.621764970449477e-11,5.5056782824399e-24,True,True,True
ENSDARG00000099384,si_dkey-238k10.1,7.4193412367402045,8.061720589297323,6.621764970449477e-11,5.334031237079172e-21,True,True,True
ENSDARG00000053973,fetub,11.188953962762557,12.0541078430645,1.0680325955452181e-10,3.5338625721114557e-12,True,True,True
ENSDARG00000105273,FP074902.2,-5.466985704804137,-4.927154484106772,1.602731182503652e-10,2.2152792004830938e-16,True,True,True
ENSDARG00000020741,fga,11.065841786121736,11.850085416790618,1.6968400384115225e-10,2.0081695447080918e-10,True,True,True
ENSDARG00000022767,apobb.1,9.768484206464139,10.142341948687443,2.7734173263961734e-10,1.7831498395918491e-12,True,True,True
ENSDARG00000059634,thumpd3,-9.086475219560862,-8.423549180000025,4.711500008782052e-10,2.131426077370114e-07,True,True,True
ENSDARG00000045074,arl4d,3.4270197164674654,3.4832124559662527,4.711500008782052e-10,1.8606516847135607e-08,True,True,True
ENSDARG00000034705,pvalb7,-5.179521977665272,-4.928796373354217,7.589451037254715e-09,2.407779099167179e-56,True,True,True
ENSDARG00000087359,c3a.2,10.4171365275145,11.587914936755316,1.420243520763144e-08,1.7526771259673865e-07,True,True,True
ENSDARG00000016771,tfa,9.29199852417162,10.94110478611071,1.665900502220056e-08,2.768519767156958e-13,True,True,True
ENSDARG00000028614,mospd1,-3.7157851468014442,-3.5291029606031934,2.6246526315971554e-08,3.036696264780181e-07,True,True,True
ENSDARG00000080675,si_dkey-71b5.7,-4.151254878434501,-3.898056204054472,2.6246526315971554e-08,1.6483829855148268e-21,True,True,True
ENSDARG00000115161,CABZ01069162.1,-13.215068807154365,-13.136039261726772,2.6246526315971554e-08,0.00261949397911495,True,True,True
ENSDARG00000090850,serpina1l,10.700148962803818,11.244720489254306,3.924625033654207e-08,6.896561920700214e-11,True,True,True
ENSDARG00000038716,casq1a,-8.099059375916392,-7.5647772786090055,3.924625033654207e-08,2.926582695130332e-09,True,True,True
ENSDARG00000103253,zgc_112023,5.156994206423857,5.552212912384859,4.3908960191475444e-08,1.2779961060215348e-12,True,True,True
ENSDARG00000042613,crp3,8.791058962101916,9.042656482183078,7.322996547817004e-08,3.7013621486887635e-05,True,True,True
ENSDARG00000044405,ttc4,3.509397756046963,2.937525448626068,7.959141850541391e-08,8.205653963251645e-07,True,True,True
ENSDARG00000061256,si_dkey-44g23.5,-3.702986076492023,-3.4665280208206806,7.959141850541391e-08,7.586183392535457e-06,True,True,True
ENSDARG00000008969,fgb,9.55692702328329,10.326208766154627,9.870713880952013e-08,1.742375675129634e-07,True,True,True
ENSDARG00000090099,si_dkeyp-67a8.4,7.238627220061768,6.946032450404929,1.3969238933218196e-07,3.9168105694854364e-07,True,True,True
ENSDARG00000086028,igfn1.4,-7.352831971301908,-7.335877798983023,2.1685686504293846e-07,1.2404536411252202e-06,True,True,True
ENSDARG00000016319,c9,9.171564934057503,10.840247433020528,2.5387938561281985e-07,2.885029439995355e-09,True,True,True
ENSDARG00000009549,ubr4,1.844279357396957,1.85264741446119,3.7075974702336604e-07,4.983955678375747e-10,True,True,True
ENSDARG00000095751,leg1.2,10.094398771981766,11.060345629252264,3.828577486864939e-07,2.442322103009619e-06,True,True,True
