gene1,gene2,gene1_id,gene2_id,spearman_r,direction
g2e3,esco2,ENSDARG00000001313,ENSDARG00000014685,0.986,co-expressed
nuf2,si_dkeyp-117h8.4,ENSDARG00000034624,ENSDARG00000043004,0.985,co-expressed
kif11,kifc1,ENSDARG00000010948,ENSDARG00000001558,0.977,co-expressed
si_dkey-25o16.4,kifc1,ENSDARG00000096554,ENSDARG00000001558,0.976,co-expressed
CABZ01058261.1,kif11,ENSDARG00000099194,ENSDARG00000010948,0.976,co-expressed
rad54l,CABZ01058261.1,ENSDARG00000018623,ENSDARG00000099194,0.974,co-expressed
rad54l,kif11,ENSDARG00000018623,ENSDARG00000010948,0.974,co-expressed
rad54l,nusap1,ENSDARG00000018623,ENSDARG00000002403,0.974,co-expressed
cdk2,spdya,ENSDARG00000026577,ENSDARG00000059131,0.971,co-expressed
kifc1,nusap1,ENSDARG00000001558,ENSDARG00000002403,0.971,co-expressed
parpbp,ift27,ENSDARG00000029944,ENSDARG00000099279,0.971,co-expressed
si_dkey-25o16.4,kif11,ENSDARG00000096554,ENSDARG00000010948,0.968,co-expressed
rad54l,lin9,ENSDARG00000018623,ENSDARG00000028475,0.967,co-expressed
rtkn2a,g2e3,ENSDARG00000053558,ENSDARG00000001313,0.967,co-expressed
cep70,lin9,ENSDARG00000076965,ENSDARG00000028475,0.967,co-expressed
rad54l,kifc1,ENSDARG00000018623,ENSDARG00000001558,0.965,co-expressed
nuf2,si_ch211-126c2.4,ENSDARG00000034624,ENSDARG00000105479,0.965,co-expressed
ska1,nuf2,ENSDARG00000039354,ENSDARG00000034624,0.964,co-expressed
rtkn2a,cdk2,ENSDARG00000053558,ENSDARG00000026577,0.964,co-expressed
si_dkeyp-117h8.4,si_ch211-126c2.4,ENSDARG00000043004,ENSDARG00000105479,0.963,co-expressed
ska1,si_dkeyp-117h8.4,ENSDARG00000039354,ENSDARG00000043004,0.963,co-expressed
kif20a,parpbp,ENSDARG00000044491,ENSDARG00000029944,0.962,co-expressed
CABZ01058261.1,nusap1,ENSDARG00000099194,ENSDARG00000002403,0.962,co-expressed
zgc_103482,FO704909.1,ENSDARG00000025174,ENSDARG00000117638,0.961,co-expressed
kif11,nusap1,ENSDARG00000010948,ENSDARG00000002403,0.961,co-expressed
cep55l,ift27,ENSDARG00000102349,ENSDARG00000099279,0.961,co-expressed
rtkn2a,spdya,ENSDARG00000053558,ENSDARG00000059131,0.96,co-expressed
spdya,nuf2,ENSDARG00000059131,ENSDARG00000034624,0.959,co-expressed
ube2t,kifc1,ENSDARG00000063285,ENSDARG00000001558,0.959,co-expressed
racgap1,kifc1,ENSDARG00000015460,ENSDARG00000001558,0.959,co-expressed
kif11,lin9,ENSDARG00000010948,ENSDARG00000028475,0.958,co-expressed
rad54l,dnmt3bb.3,ENSDARG00000018623,ENSDARG00000057863,0.958,co-expressed
tacc3,kif11,ENSDARG00000005454,ENSDARG00000010948,0.958,co-expressed
ube2t,nusap1,ENSDARG00000063285,ENSDARG00000002403,0.956,co-expressed
ticrr,CABZ01058261.1,ENSDARG00000045605,ENSDARG00000099194,0.956,co-expressed
kif20a,cep55l,ENSDARG00000044491,ENSDARG00000102349,0.955,co-expressed
fancd2,nusap1,ENSDARG00000053574,ENSDARG00000002403,0.955,co-expressed
ska1,parpbp,ENSDARG00000039354,ENSDARG00000029944,0.955,co-expressed
rad54l,fancd2,ENSDARG00000018623,ENSDARG00000053574,0.955,co-expressed
CABZ01058261.1,hmmr,ENSDARG00000099194,ENSDARG00000021794,0.955,co-expressed
racgap1,nusap1,ENSDARG00000015460,ENSDARG00000002403,0.953,co-expressed
CABZ01058261.1,lin9,ENSDARG00000099194,ENSDARG00000028475,0.953,co-expressed
ift27,kifc1,ENSDARG00000099279,ENSDARG00000001558,0.953,co-expressed
g2e3,nuf2,ENSDARG00000001313,ENSDARG00000034624,0.952,co-expressed
lin9,kifc1,ENSDARG00000028475,ENSDARG00000001558,0.952,co-expressed
ska1,nusap1,ENSDARG00000039354,ENSDARG00000002403,0.95,co-expressed
tpi1a,RYR2 (1 of many),ENSDARG00000025012,ENSDARG00000098856,0.95,co-expressed
cdk2,nuf2,ENSDARG00000026577,ENSDARG00000034624,0.95,co-expressed
