,kif20a,ska1,lmnl3,cspp1a,zgc_66426,zgc_111976,rtkn2a,tpi1a,parpbp,spata6l,g2e3,mtf2,cdk2,mkrn4,rad54l,tacc3,spdya,gra,ticrr,cep55l,CABZ01058261.1,si_dkey-25o16.4,ube2t,slc18b1,esco2,kif11,mcph1,zgc_103482,rad21l1,nuf2,arhgap11a,RYR2 (1 of many),ift27,mapre1a,FO704909.1,si_dkey-250k10.1,si_dkeyp-117h8.4,si_dkey-223p19.2,racgap1,rcor2,fancd2,cep70,foxm1,dnmt3bb.3,atp2b1b,hmmr,lin9,kifc1,si_ch211-126c2.4,nusap1
kif20a,1.0,0.9172932330827067,0.8992481203007519,0.9353383458646617,0.8015037593984963,0.9298179410555444,0.9244077374299388,0.9052631578947369,0.9624060150375939,0.7924812030075188,0.8932330827067669,0.9067669172932331,0.9353383458646617,0.8842105263157894,0.849624060150376,0.9052631578947369,0.9082706766917293,0.9097744360902256,0.793984962406015,0.9548872180451128,0.8556390977443609,0.9203007518796993,0.8827067669172932,0.8721804511278195,0.8932330827067669,0.8887218045112782,0.9037593984962407,0.9278195488721804,0.8754779315133373,0.9052631578947369,0.8195488721804511,0.8796992481203008,0.9488721804511279,0.8180451127819549,0.9457842051013633,-0.24962406015037594,0.9108688120648136,0.8694106177121439,0.849624060150376,0.8736842105263158,0.8105263157894737,0.8225563909774436,0.8180451127819549,0.8030075187969925,0.9142857142857143,0.8857142857142857,0.8345864661654135,0.8932330827067669,0.8962406015037594,0.8646616541353384
ska1,0.9172932330827067,1.0,0.8120300751879699,0.8646616541353384,0.7473684210526316,0.8369870914209405,0.8867996114157021,0.8195488721804511,0.9548872180451128,0.7924812030075188,0.9308270676691729,0.9278195488721804,0.9172932330827067,0.912781954887218,0.9203007518796993,0.9308270676691729,0.9187969924812031,0.8631578947368421,0.8781954887218045,0.8977443609022556,0.9383458646616541,0.9037593984962407,0.9052631578947369,0.8736842105263158,0.9368421052631579,0.9278195488721804,0.8947368421052632,0.8827067669172932,0.8196284772616244,0.9639097744360903,0.8541353383458646,0.793984962406015,0.9488721804511279,0.9172932330827067,0.8704829148862866,-0.3022556390977444,0.9627680259644603,0.8808402051492009,0.9067669172932331,0.8,0.9022556390977443,0.8270676691729323,0.8210526315789474,0.8661654135338346,0.8661654135338346,0.9278195488721804,0.8947368421052632,0.9308270676691729,0.9458646616541353,0.9503759398496241
lmnl3,0.8992481203007519,0.8120300751879699,1.0,0.869172932330827,0.6842105263157895,0.9056668257034524,0.9402031503559183,0.843609022556391,0.8751879699248121,0.8360902255639098,0.9022556390977443,0.8195488721804511,0.8932330827067669,0.8466165413533835,0.8661654135338346,0.869172932330827,0.869172932330827,0.9172932330827067,0.8631578947368421,0.8676691729323308,0.8766917293233083,0.9112781954887218,0.8390977443609022,0.8225563909774436,0.8827067669172932,0.8992481203007519,0.8932330827067669,0.8872180451127819,0.809817086649837,0.837593984962406,0.8571428571428571,0.8285714285714286,0.8706766917293233,0.8090225563909774,0.9427721534927602,-0.3082706766917293,0.8228657971914997,0.8823641501408086,0.849624060150376,0.8571428571428571,0.8315789473684211,0.9112781954887218,0.7894736842105263,0.8045112781954887,0.9022556390977443,0.8661654135338346,0.9037593984962407,0.8706766917293233,0.843609022556391,0.8225563909774436
cspp1a,0.9353383458646617,0.8646616541353384,0.869172932330827,1.0,0.825563909774436,0.9290632187007916,0.9033471868619662,0.9383458646616541,0.9052631578947369,0.7654135338345864,0.869172932330827,0.9157894736842105,0.8887218045112782,0.8781954887218045,0.8330827067669173,0.8300751879699249,0.8872180451127819,0.8721804511278195,0.8105263157894737,0.8917293233082707,0.8150375939849624,0.8315789473684211,0.8105263157894737,0.9218045112781955,0.8676691729323308,0.837593984962406,0.8406015037593985,0.9187969924812031,0.8603834844182797,0.8571428571428571,0.8706766917293233,0.8947368421052632,0.8857142857142857,0.7744360902255639,0.908133559993825,-0.28721804511278193,0.8439263477594722,0.8206443779807002,0.7759398496240602,0.8511278195488722,0.793984962406015,0.825563909774436,0.8270676691729323,0.7894736842105263,0.8781954887218045,0.8390977443609022,0.8150375939849624,0.8195488721804511,0.8541353383458646,0.8165413533834587
zgc_66426,0.8015037593984963,0.7473684210526316,0.6842105263157895,0.825563909774436,1.0,0.7637790230099115,0.7295976446761926,0.7609022556390977,0.7849624060150376,0.7729323308270677,0.7308270676691729,0.8090225563909774,0.7744360902255639,0.6947368421052632,0.6977443609022557,0.7233082706766917,0.7338345864661654,0.750375939849624,0.606015037593985,0.7879699248120301,0.6481203007518797,0.7172932330827068,0.6932330827067669,0.8315789473684211,0.7443609022556391,0.6962406015037594,0.6736842105263158,0.7684210526315789,0.846798482032728,0.7172932330827068,0.7308270676691729,0.7413533834586467,0.7879699248120301,0.6270676691729323,0.7801213666281945,-0.11729323308270677,0.7017676314256573,0.7025386411311101,0.7172932330827068,0.7879699248120301,0.6691729323308271,0.7127819548872181,0.7954887218045112,0.750375939849624,0.8075187969924812,0.6857142857142857,0.6781954887218045,0.7263157894736842,0.7172932330827068,0.7007518796992481
zgc_111976,0.9298179410555444,0.8369870914209405,0.9056668257034524,0.9290632187007916,0.7637790230099115,1.0,0.9256376564435405,0.8943459903821592,0.8732137644490786,0.821892644325883,0.8800062656418546,0.8769873762228431,0.9207612727985099,0.9086857151224639,0.8362323690661877,0.840005980839952,0.9245348845722743,0.8694401526753143,0.8415154255494578,0.8867987668346304,0.8498173714517394,0.8513268161612452,0.8528362608707509,0.8332134796471762,0.8664212632563028,0.8603834844182797,0.840005980839952,0.9418934987315905,0.8401515151515152,0.8747232091585844,0.8573645949992682,0.889817656253642,0.895100712736912,0.7328354064650435,0.9349986245438537,-0.14792558153156388,0.852779553795252,0.8669612262793348,0.7690620794931816,0.8551004279350096,0.7698168018479346,0.8445343149684693,0.8045340301665669,0.8000056960380496,0.9177423833794984,0.8679307079658085,0.8324587572924232,0.8301945902281647,0.8520815385159981,0.8309493125829175
rtkn2a,0.9244077374299388,0.8867996114157021,0.9402031503559183,0.9033471868619662,0.7295976446761926,0.9256376564435405,1.0,0.8311395849146317,0.9071079994633899,0.8100790343466592,0.9665288385658839,0.867243385888299,0.963520188484745,0.8552087855637432,0.8988342117402578,0.8597217606854516,0.9597593758833214,0.915381787186522,0.8679955484085837,0.8664912233680142,0.9033471868619662,0.9229034123893693,0.8657390608477296,0.9010906993011121,0.937946662795064,0.915381787186522,0.8860474488954173,0.8988342117402578,0.8795822754948814,0.9206469248285152,0.8461828353203265,0.8529522980028891,0.8988342117402578,0.8710041984897227,0.9250476715171035,-0.17901467982776684,0.8920240782543266,0.8571603728674106,0.8988342117402578,0.8303874223943469,0.8649868983274448,0.9394509878356335,0.8890560989765562,0.8424220227189028,0.8943212366185495,0.9304250375922167,0.9311772001125014,0.9003385367808273,0.9183904372676609,0.9048515119025357
tpi1a,0.9052631578947369,0.8195488721804511,0.843609022556391,0.9383458646616541,0.7609022556390977,0.8943459903821592,0.8311395849146317,1.0,0.849624060150376,0.7518796992481203,0.7969924812030075,0.8842105263157894,0.8451127819548873,0.8992481203007519,0.7353383458646616,0.8030075187969925,0.8466165413533835,0.8270676691729323,0.7924812030075188,0.869172932330827,0.762406015037594,0.7729323308270677,0.7759398496240602,0.8736842105263158,0.8075187969924812,0.7578947368421053,0.7879699248120301,0.9007518796992481,0.8256662560996474,0.8511278195488722,0.8225563909774436,0.9503759398496241,0.8330827067669173,0.7353383458646616,0.888555224537905,-0.42857142857142855,0.855960948084028,0.8694106177121439,0.6977443609022557,0.8466165413533835,0.7533834586466165,0.762406015037594,0.7518796992481203,0.7037593984962406,0.8827067669172932,0.7759398496240602,0.7368421052631579,0.7518796992481203,0.843609022556391,0.7323308270676692
parpbp,0.9624060150375939,0.9548872180451128,0.8751879699248121,0.9052631578947369,0.7849624060150376,0.8732137644490786,0.9071079994633899,0.849624060150376,1.0,0.8120300751879699,0.9112781954887218,0.8872180451127819,0.9293233082706767,0.8781954887218045,0.8751879699248121,0.9218045112781955,0.8917293233082707,0.8646616541353384,0.8180451127819549,0.9308270676691729,0.8857142857142857,0.9112781954887218,0.8511278195488722,0.8932330827067669,0.8947368421052632,0.9112781954887218,0.9067669172932331,0.8796992481203008,0.8445343149684693,0.9157894736842105,0.8195488721804511,0.8270676691729323,0.9714285714285714,0.8556390977443609,0.9006034309723172,-0.3172932330827068,0.9131252996256678,0.8678866727205362,0.8796992481203008,0.8676691729323308,0.8210526315789474,0.8180451127819549,0.793984962406015,0.7954887218045112,0.9112781954887218,0.8721804511278195,0.8661654135338346,0.9097744360902256,0.9112781954887218,0.8857142857142857
spata6l,0.7924812030075188,0.7924812030075188,0.8360902255639098,0.7654135338345864,0.7729323308270677,0.821892644325883,0.8100790343466592,0.7518796992481203,0.8120300751879699,1.0,0.8345864661654135,0.7924812030075188,0.8556390977443609,0.8330827067669173,0.8165413533834587,0.837593984962406,0.7984962406015037,0.8150375939849624,0.8075187969924812,0.8240601503759398,0.8150375939849624,0.8135338345864662,0.806015037593985,0.7789473684210526,0.8345864661654135,0.8421052631578947,0.762406015037594,0.825563909774436,0.8445343149684693,0.825563909774436,0.8285714285714286,0.7533834586466165,0.8736842105263158,0.7368421052631579,0.846386502017462,-0.25263157894736843,0.7867619962178324,0.892269792586258,0.8300751879699249,0.8736842105263158,0.7909774436090226,0.8451127819548873,0.7894736842105263,0.8421052631578947,0.8932330827067669,0.7879699248120301,0.8406015037593985,0.843609022556391,0.7894736842105263,0.7954887218045112
