gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,qvalue,tf_family
ENSDARG00000008278,674.6594185515281,-6.061695742788645,0.6232678011750484,-9.725668053701016,2.3436190222112385e-22,1.3314304797988462e-19,rcor2,5.444670808479745e-20,MYB
ENSDARG00000003200,1099.731400679348,-5.345688046862378,0.5582890266308428,-9.5751264880173,1.017327031115191e-21,5.259822971587232e-19,foxm1,2.1509200086435497e-19,Fork head
ENSDARG00000032264,301.76270677691525,-2.712738849022581,0.3378822298431501,-8.02865202553527,9.854944015670893e-16,2.0000010214980693e-13,mybl2b,8.178682510201647e-14,MYB
ENSDARG00000014550,1010.409806448228,-6.057391790116877,0.7674785280222683,-7.892587960377599,2.9598357518478613e-15,5.401078432888766e-13,rfx3,2.208684157681432e-13,RFX
ENSDARG00000040266,342.32780046248956,-4.893012282276875,0.627554334433686,-7.796954006687564,6.3419341731515e-15,1.0432962164392789e-12,sox19b,4.266392080120106e-13,HMG
ENSDARG00000038812,707.7616247080309,-5.0853542033894525,0.6542521594858423,-7.772774043857774,7.67856440338642e-15,1.2351113038484157e-12,e2f5,5.050789029783074e-13,E2F
ENSDARG00000058710,258.5959784636556,-3.072963807795059,0.4192789358789647,-7.329163344094506,2.315939737663926e-13,2.5145315701686074e-11,terf1,1.0282772435227844e-11,MYB
ENSDARG00000014018,73.5918251799991,-3.998122010938347,0.5491797431973613,-7.280170218335099,3.333992355732802e-13,3.397577919669623e-11,lhx1a,1.3893848458054936e-11,Homeobox
ENSDARG00000042215,951.3596298032862,-6.241533566238426,0.8731305057807763,-7.148454354663834,8.776042166129083e-13,7.940489818228878e-11,pias4b,3.247135601467765e-11,zf-MIZ
ENSDARG00000057323,419.2285555219771,-4.2824400111733745,0.6326854439689767,-6.768671623466906,1.2997015284335735e-11,9.470811640917802e-10,e2f8,3.8729360981510566e-10,E2F
ENSDARG00000104686,1144.8179769675803,-11.728670882778571,1.7354758035580322,-6.758187500357379,1.3972863428006159e-11,9.985619180391284e-10,hsf5,4.0834583615876004e-10,HSF
ENSDARG00000044485,159.65753611803643,-2.6411732610152394,0.3981412126713351,-6.633760025228846,3.2724170335307724e-11,2.1023827184355244e-09,sall4,8.597355993418133e-10,zf-C2H2
ENSDARG00000005814,110.15299148915908,-6.141885155638609,0.9261697046698564,-6.631490022476986,3.3231500844973375e-11,2.1286785865740316e-09,klhl10a,8.70488871691339e-10,ZBTB
ENSDARG00000036816,336.05914095661694,-5.575245334665058,0.8598962390518945,-6.4836256765260645,8.954422194779349e-11,5.130482268064211e-09,pou2f2a,2.0980282081699404e-09,Pou
ENSDARG00000015998,211.503000882753,-2.5382927474212207,0.3923335398787431,-6.4697317191023735,9.817706912348032e-11,5.566357848606723e-09,wdhd1,2.2762725164921835e-09,HMG
ENSDARG00000053876,270.41006748806257,-2.191381951575909,0.3523250473506323,-6.219773382716828,4.978734364184315e-10,2.4796609339051008e-08,klhl26,1.0140174576595588e-08,ZBTB
ENSDARG00000098273,488.4216703806547,-1.3621429221804806,0.2280878593043814,-5.972009761215356,2.343485055915472e-09,1.0071158749641806e-07,zbtb14,4.1184383926695535e-08,ZBTB
ENSDARG00000088123,616.3283834801267,-1.866548382767759,0.3166765939758601,-5.894178535057894,3.765498758911061e-09,1.5395737935598077e-07,znf217,6.295839413682298e-08,zf-C2H2
ENSDARG00000005883,570.3505907947389,-4.691078945846868,0.80031834551502,-5.861516198067494,4.586597247041662e-09,1.827485490266233e-07,rfx1a,7.473207991510094e-08,RFX
ENSDARG00000037782,111.98954073158694,-3.782584385033719,0.6458017871669359,-5.857190952703176,4.707617410978889e-09,1.8688466559306504e-07,sox8b,7.642347826232648e-08,HMG
ENSDARG00000004851,355.78051184160785,-1.619388566673293,0.2770352477740483,-5.845424290536764,5.052787074190408e-09,1.9949322057462678e-07,hinfp,8.15795440342016e-08,zf-C2H2
ENSDARG00000052188,752.3181399917811,-4.900160291502481,0.8522907228451213,-5.749400011236472,8.956069924391283e-09,3.324462536891568e-07,znf541,1.3594854859588836e-07,zf-C2H2
ENSDARG00000025983,206.8057768733645,-2.6542561780486387,0.4681116503523863,-5.6701348408025325,1.4268517543883914e-08,5.129815537507271e-07,l3mbtl3,2.097755559431942e-07,zf-C2HC
ENSDARG00000111442,26.309013752231312,-5.63766917595501,0.994576493021163,-5.668411847167043,1.4412719022042874e-08,5.173094108490265e-07,zgc_100951,2.1154536349709243e-07,zf-C2H2
ENSDARG00000078676,86.80832059943442,-2.8338474195946324,0.501613672582268,-5.64946207507903,1.6095068769526952e-08,5.728130541377576e-07,myrf,2.3424268573535778e-07,NDT80/PhoG
ENSDARG00000023272,48.48697168824239,-4.067029506504569,0.722804288615352,-5.626736822903498,1.8365059266039217e-08,6.442605201325389e-07,tfap2d,2.634599778391413e-07,AP-2
ENSDARG00000017121,1414.0793217337955,1.293210196109672,0.2303332601610505,5.614517830405609,1.971111042220195e-08,6.837488223931554e-07,mafba,2.7960808394433473e-07,TF_bZIP
ENSDARG00000031387,171.04624027153716,-4.149244949265636,0.7409562551617715,-5.599851435709575,2.1453558492916427e-08,7.371266181545573e-07,cers4a,3.01436075027054e-07,Homeobox
ENSDARG00000002330,204.44801696964512,-5.881401358291671,1.055126630886255,-5.574118959874589,2.4878569547368723e-08,8.441220901892372e-07,lhx8a,3.4519015246974145e-07,Homeobox
ENSDARG00000112170,61.51469801367331,-6.04900702967379,1.091076914519485,-5.5440702201437375,2.955202311590036e-08,9.903120092002722e-07,klhl10b.2,4.049721686253018e-07,ZBTB
ENSDARG00000091967,190.16977932090205,-2.246931337596861,0.4078286079473009,-5.509499073412737,3.5985628900425917e-08,1.1857783483653244e-06,ttf1,4.849049842728112e-07,MYB
ENSDARG00000042489,600.1668466481899,-1.24346801474367,0.2258159534460991,-5.506555209087466,3.659232420676851e-08,1.2021215130862e-06,thap12a,4.915882586325338e-07,THAP
ENSDARG00000020417,28.43484805822588,-2.935717365811387,0.5347038075293127,-5.490361812414155,4.011112107586773e-08,1.2961502889322437e-06,emx3,5.300398142168242e-07,Homeobox
ENSDARG00000101919,591.1882306116194,-2.5315502254544566,0.464779267484416,-5.446779584546205,5.128995620508847e-08,1.618839242723105e-06,foxj1a,6.619982719493985e-07,Fork head
ENSDARG00000099247,191.84666843292715,-6.186218020934578,1.1575076861792866,-5.344429324140481,9.0702357118096e-08,2.6724581883574684e-06,si_dkey-68o6.5,1.0928587940416465e-06,SAND
ENSDARG00000008986,151.23349914013363,-3.5491523301332912,0.6695055055473241,-5.301154808625272,1.150724576158135e-07,3.336179462119346e-06,e2f7,1.3642769340833444e-06,E2F
ENSDARG00000010591,84.05534598045483,-4.160137833474879,0.7922665227823075,-5.2509322479828775,1.5133133931991561e-07,4.251177274685598e-06,foxn4,1.7384505732999383e-06,Fork head
ENSDARG00000076472,84.85721290404103,-3.479967501225194,0.6673470301267349,-5.214629486796875,1.841850067540563e-07,5.04997149200042e-06,ovol1a,2.0651046211818458e-06,zf-C2H2
ENSDARG00000093999,114.1424234557456,-1.945790959841568,0.3743719496464901,-5.197480638383642,2.0200757259545225e-07,5.461955289550187e-06,si_ch73-376l24.6,2.233578769109174e-06,MYB
ENSDARG00000103379,53.53406311454429,-3.8889135703427025,0.751960963904682,-5.171696081334958,2.3197867061548734e-07,6.15821128657128e-06,pax6a,2.5183014609603053e-06,PAX
ENSDARG00000005150,31.253272782433864,-5.903601278150965,1.142622835577069,-5.166710391508514,2.382499887974884e-07,6.301581616001779e-06,tbx20,2.5769304513053582e-06,T-box
ENSDARG00000011879,30.97737388989902,-3.3474690192512777,0.6566213534270218,-5.098020345790235,3.4322393666249545e-07,8.764780230876812e-06,foxn1,3.5842159083668517e-06,Fork head
ENSDARG00000044155,3034.983155712127,1.1966738198805402,0.2362440825046982,5.065412886507927,4.075161059186822e-07,1.0171508321866878e-05,mafaa,4.159474736273451e-06,TF_bZIP
ENSDARG00000016304,381.2338736703804,-1.5724591702904536,0.3127804743137196,-5.027357202333778,4.972855335324485e-07,1.2092447212381992e-05,tfdp1b,4.94501180041226e-06,E2F
ENSDARG00000076214,33.39877817969728,-3.9697268732841446,0.7997908802782776,-4.963456037286805,6.924972184284292e-07,1.6274434088932186e-05,zgc_165514,6.655168073208289e-06,zf-C2H2
ENSDARG00000003820,993.9400691258076,1.9839472492829064,0.4026361412232445,4.927394851479297,8.333324288644842e-07,1.911512534439468e-05,nr1d2a,7.816823074290811e-06,THR-like
ENSDARG00000051729,412.00948025945473,1.269764245584104,0.2578950231418841,4.923570180280398,8.497938063396745e-07,1.9410229551561057e-05,nfatc3b,7.937501193546506e-06,RHD
ENSDARG00000053990,2845.9893130804203,-1.412953632835399,0.2882496077514935,-4.901840609106875,9.494285778354902e-07,2.1475876633018408e-05,hmgb2b,8.782214344978295e-06,HMG
ENSDARG00000071583,399.7683396688371,-8.982734625657303,1.832518877127197,-4.901851073828694,9.493779914412204e-07,2.1475876633018408e-05,gtf3ab,8.782214344978295e-06,zf-C2H2
ENSDARG00000102033,59.00910287596553,-2.844650240051292,0.5841845070577001,-4.869438004062516,1.1191608843267629e-06,2.4748043384068898e-05,zgc_193790,1.0120314310409029e-05,zf-C2H2
ENSDARG00000019658,130.27172072176015,-3.3939442608073622,0.7005654683131488,-4.8445782932742105,1.268808784795286e-06,2.771849372417468e-05,pou2f2a,1.1335032202195325e-05,Pou
ENSDARG00000089607,37.45863751517284,-5.666480971199686,1.1734891758858546,-4.8287458356163535,1.3739564007625595e-06,2.965751813375644e-05,CU929037.1,1.212796504848066e-05,zf-C2H2
ENSDARG00000039066,5750.437950794073,1.3555659369611577,0.2809193428561143,4.825463149596901,1.3967829048958737e-06,3.0090417440291564e-05,klhl31,1.2304992257416043e-05,ZBTB
ENSDARG00000092508,229.09496317581528,-1.0810160255539776,0.2256930800032758,-4.789761500610862,1.6697966099587297e-06,3.5237738955543066e-05,si_ch73-376l24.2,1.4409906604891678e-05,MYB
ENSDARG00000030479,2989.087826385454,-2.2385396222360874,0.4702868263941194,-4.759945413312727,1.936453250251173e-06,3.989571378482374e-05,hmgb1b,1.6314710495474798e-05,HMG
ENSDARG00000101986,235.3972753056729,-1.8574221072646735,0.3905090482843841,-4.756412470914183,1.9706362385298807e-06,4.0446470623512626e-05,irf6,1.653993364664023e-05,IRF
ENSDARG00000098350,145.89051229666302,-1.9162834388134264,0.4036067272663871,-4.747897667098714,2.055419808912054e-06,4.21070199533257e-05,mxd3,1.7218988587867038e-05,bHLH
ENSDARG00000078280,58.7797782003369,-8.81366089505912,1.8690222327488897,-4.715653318952933,2.4093638131783124e-06,4.8354283921596166e-05,nkx3-1,1.977370671074255e-05,Homeobox
ENSDARG00000115096,37.2480200851905,-2.9228715299727095,0.6282240352601719,-4.652594243329508,3.2778484629654113e-06,6.349552129642631e-05,FO704836.1,2.5965472213321044e-05,zf-C2H2
ENSDARG00000104715,291.8845453638925,-1.6201500891015652,0.3510795483640412,-4.614766358938117,3.9353777485507965e-06,7.4374871897111e-05,zgc_171422,3.0414407665040133e-05,zf-C2H2
ENSDARG00000098021,119.2259462812279,-1.278263556368212,0.2772971371219045,-4.6097250394845055,4.0320187718015e-06,7.593693636571516e-05,si_dkey-111k8.2,3.10531888062423e-05,zf-C2H2
ENSDARG00000037964,62.74150553594188,-8.907306604110167,1.9405987761581416,-4.589978471358316,4.4329172879606845e-06,8.262729520005687e-05,lhx2a,3.378910344814672e-05,Homeobox
ENSDARG00000088290,154.7269974749195,-2.6862254368296803,0.5913640740150229,-4.542422434612489,5.561146109685799e-06,0.0001010546341186,foxj1b,4.132466732553135e-05,Fork head
ENSDARG00000102879,24.96928905513397,-3.868490163000697,0.8527925100851632,-4.536261889324491,5.726006973911879e-06,0.0001033584716861,myt1b,4.226678464533462e-05,zf-C2HC
ENSDARG00000102138,60.30849605990137,-2.701582390779146,0.5971551307757251,-4.524088049397981,6.065647067760838e-06,0.0001087659174867,foxa1,4.447807263560389e-05,Fork head
ENSDARG00000040321,21.840646774180776,-3.710262138365597,0.8232349848748538,-4.506929620987405,6.577243723771056e-06,0.0001164016686729,rx2,4.760059027472457e-05,Homeobox
ENSDARG00000015536,1870.424711454332,1.062076339894361,0.2362607182003438,4.495357281500108,6.945322953524721e-06,0.0001217253332815,sox6,4.9777617294027114e-05,HMG
ENSDARG00000116570,20.3746793355509,-6.55172226537769,1.459312419158828,-4.489595359679192,7.135859698599471e-06,0.0001243082176829,FO834825.3,5.083384632853617e-05,zf-C2H2
ENSDARG00000015890,492.50822008236054,1.0473705322956448,0.2336776580105972,4.4821166953331355,7.390630884563081e-06,0.0001284928339938,mafa,5.254507786622918e-05,TF_bZIP
ENSDARG00000088039,101.72548600981466,-3.999236197342034,0.8926088803493324,-4.48039033151551,7.450665565215869e-06,0.0001293294986,CU929391.1,5.2887218400573136e-05,zf-C2H2
ENSDARG00000099718,68.71021975868251,-4.894144356934306,1.094007281556781,-4.473593950828097,7.691573960551575e-06,0.0001328739288411,CU929391.3,5.433665614136681e-05,zf-C2H2
ENSDARG00000007823,385.59126787821873,1.4521122260182229,0.3256347990755228,4.459327535450048,8.221719892396681e-06,0.000140467857957,atf3,5.744207131745289e-05,TF_bZIP
ENSDARG00000036074,1257.1924128030985,1.7034776478157172,0.3852682488636145,4.421536560150719,9.800147785217824e-06,0.000162326627884,cebpa,6.638086371680732e-05,C/EBP
ENSDARG00000077712,19.418058964060076,-3.6467790729520098,0.8280041073875308,-4.404300703843257,1.0612565243672266e-05,0.0001735330227909,zgc_113886,7.096353867756766e-05,zf-C2H2
ENSDARG00000079382,160.1326754261131,-1.7347879644548934,0.397289296437917,-4.366561042567585,1.2621802520648126e-05,0.0002012352729338,hdx,8.229192832845484e-05,Homeobox
ENSDARG00000102974,1637.9986692591856,-1.0741899431901178,0.2462555803510811,-4.362093811878979,1.288236064166746e-05,0.0002047880390437,baz2a,8.374477488873147e-05,MBD
ENSDARG00000070048,137.24035278527683,-1.6501792129082982,0.3789229123733942,-4.354920642228665,1.3311513338526148e-05,0.0002106847756166,zgc_173548,8.615615047092735e-05,zf-C2H2
ENSDARG00000114182,48.04825003370225,-3.1835994115031907,0.7363853762038224,-4.323278971012604,1.5372714467536025e-05,0.0002398121369702,mkxb,9.806731643083338e-05,Homeobox
ENSDARG00000061548,57.606072465057245,-2.037329832260836,0.4721415515217979,-4.315082681653737,1.5954317798586427e-05,0.0002469390727964,si_ch211-145o7.3,0.0001009817622119,Fork head
ENSDARG00000068366,337.6934776096311,-1.8591226841067083,0.4369259360573442,-4.25500646833359,2.0904297198581136e-05,0.0003113421218567,si_dkey-154p10.3,0.0001273183533082,zf-C2H2
ENSDARG00000007413,1168.7098560411969,-1.1113618480893983,0.2623140556144053,-4.2367605711646315,2.267677227245909e-05,0.0003341468929347,arid2,0.0001366439976633,ARID
ENSDARG00000037555,654.0697159729004,1.494538510789576,0.3549446069878023,4.210624647808597,2.5466556521275925e-05,0.0003689167944359,atoh8,0.0001508625896657,bHLH
ENSDARG00000017366,134.22670796622197,1.0313083753375984,0.245787393342415,4.1959368269992865,2.7174598883888815e-05,0.0003895025840024,prdm4,0.0001592808172204,zf-C2H2
ENSDARG00000090740,24.71488163805379,-2.2601132793224967,0.540127733853358,-4.184405165049545,2.859137739943625e-05,0.0004063231415109,zmp_0000001003,0.0001661593136825,zf-C2H2
ENSDARG00000100686,83.54195671911015,-4.430840153649569,1.0616898551013831,-4.173384658767845,3.0010762341400404e-05,0.0004232558311047,si_ch211-241b2.4,0.0001730836647575,zf-C2H2
ENSDARG00000003877,296.4952822008163,-2.1085882886004494,0.5092791602041589,-4.1403388423652805,3.46793176943336e-05,0.0004781342118936,pbrm1,0.0001955252959528,HMG
ENSDARG00000036645,346.0762228504684,-1.4642063918653625,0.3542094387993865,-4.133730588400962,3.569218436501587e-05,0.0004889941851648,rcbtb1,0.0001999663073573,ZBTB
ENSDARG00000016999,117.19670706605052,-3.887896010068015,0.943111570115962,-4.122413649945966,3.749231708623355e-05,0.0005101163317841,lin28a,0.0002086038695023,CSD
ENSDARG00000074424,1334.880217801444,-1.857618984346286,0.4513921694575573,-4.1153106102363415,3.866583697585803e-05,0.0005241127652501,ibtk,0.0002143274858586,ZBTB
ENSDARG00000096887,230.20993195072631,1.139430409258543,0.2781600015987304,4.0963129231724285,4.1978241887636315e-05,0.0005578687408751,CR381618.1,0.0002281314491812,zf-C2H2
ENSDARG00000098923,41.84671600176456,-2.3257483186716583,0.5694789177096622,-4.083993711348232,4.426822922699144e-05,0.0005822438507959,zgc_173577,0.0002380992583498,zf-C2H2
ENSDARG00000076571,44.46042119480127,-5.257703138060628,1.2893402567444476,-4.077824383872259,4.5459081511709545e-05,0.0005950234810287,sp5a,0.0002433252825943,zf-C2H2
ENSDARG00000019810,1132.014978303171,-1.7203683176822575,0.4225670644036968,-4.071231438990509,4.676525707791237e-05,0.0006084527006871,nfe2l3,0.0002488169459867,TF_bZIP
ENSDARG00000099021,752.0476172024324,-1.08504785929446,0.2667140676250974,-4.068206334056744,4.73764208797999e-05,0.0006152984326584,setdb1b,0.000251616397974,MBD
ENSDARG00000102601,77.14963895119271,-1.6146619479725524,0.3990334915874916,-4.046432146707473,5.2004189619524955e-05,0.0006658437367853,si_dkey-15h8.15,0.0002722860871588,zf-C2H2
ENSDARG00000014828,61.2944359810969,-3.420412388236441,0.8456148129025256,-4.044882298710055,5.234941808666912e-05,0.0006686868316188,l3mbtl1a,0.0002734487250644,zf-C2HC
ENSDARG00000096222,26.21146094068187,2.336595571546971,0.5784700812232819,4.039267798614247,5.361831922037022e-05,0.000681288356858,si_ch211-245n8.4,0.0002786019161362,zf-C2H2
ENSDARG00000039051,9621.69987863914,1.6672676635028345,0.4149204474968962,4.0182827179547616,5.862383307916431e-05,0.0007341502510461,hhatla,0.000300218937568,ZBTB
ENSDARG00000103237,44.901512730985104,-2.333950538626929,0.580922506036408,-4.017662449594703,5.877831306560053e-05,0.0007348135107769,si_ch73-299h12.8,0.0003004901669674,zf-C2H2
ENSDARG00000116608,13.242192890028734,-4.130120303728289,1.0315400636104624,-4.003838967991781,6.232279541255511e-05,0.0007681982118945,pitx1,0.0003141423035516,Homeobox
ENSDARG00000042337,510.86442835150024,-1.3605555422204827,0.3408377506323936,-3.991798266759169,6.557414530479327e-05,0.0008013182697206,chrac1,0.000327686218518,NF-YC
ENSDARG00000042563,55.35560972943166,-3.2773145487332416,0.821680926598003,-3.9885488912372264,6.647870292370637e-05,0.0008101372826615,mis18bp1,0.0003312926120209,MYB
ENSDARG00000102867,168.74669541122617,1.2637754021943548,0.3170955223715995,3.9854722411165273,6.734605053748708e-05,0.0008179079907279,srfb,0.0003344703181056,SRF
