gene_id,gene_name,q1_log2FC,q1_sig,q2_log2FC,q2_sig,direction,tf_family,biotype
ENSDARG00000097285,ANPEP,-5.937,3.7174008532859107e-11,5.448,0.0079998846489989,OPPOSITE,-,protein_coding
ENSDARG00000068586,CU302253.1,-7.992,1.217122576550742e-09,4.772,0.0205831060139092,OPPOSITE,-,protein_coding
ENSDARG00000090670,si_dkey-201i6.8,-6.237,1.959456759574846e-09,4.82,0.0407993234361357,OPPOSITE,-,protein_coding
ENSDARG00000075766,sccpdha.1,-3.059,5.161763073918645e-09,2.267,0.0102671452112771,OPPOSITE,-,protein_coding
ENSDARG00000043719,c3a.6,-4.719,2.0256804283391245e-08,6.378,0.0003075193495968,OPPOSITE,-,protein_coding
ENSDARG00000067851,lcn15,-3.711,2.775904119725101e-07,5.271,0.0012840124122995,OPPOSITE,-,protein_coding
ENSDARG00000060280,pde9a,-3.922,5.74194742602246e-07,3.256,0.0174789953170732,OPPOSITE,-,protein_coding
ENSDARG00000075632,rad9b,-4.268,7.673508862613714e-07,1.617,0.0342404257358301,OPPOSITE,-,protein_coding
ENSDARG00000038153,lgals2b,-3.769,2.233578769109174e-06,8.363,1.3956971484499794e-05,OPPOSITE,-,protein_coding
ENSDARG00000093068,c3b.1,-4.694,3.7126105968406537e-06,6.954,3.2015329245970695e-06,OPPOSITE,-,protein_coding
ENSDARG00000053254,mylpfa,-3.099,1.0951600044798414e-05,5.275,0.0232830709996143,OPPOSITE,-,protein_coding
ENSDARG00000092578,si_ch211-222e20.4,-2.633,1.3442711870308145e-05,3.158,1.1343774925015458e-06,OPPOSITE,-,protein_coding
ENSDARG00000043279,aqp12,-4.892,1.634383486157396e-05,7.262,2.348197615467465e-06,OPPOSITE,-,protein_coding
ENSDARG00000114317,BX927253.3,-4.346,5.8230124845317694e-05,4.82,0.0305797863561897,OPPOSITE,-,protein_coding
ENSDARG00000089361,wu_fb59d01,-3.598,6.617129039221367e-05,4.056,0.0102801580031224,OPPOSITE,-,protein_coding
ENSDARG00000009153,pla2g1b,-5.479,0.0001158690970717,4.729,0.0153755452213967,OPPOSITE,-,protein_coding
