gene_id,gene_name,log2FC_3mo,log2FC_18mo,qvalue_18mo,sig_at_18mo,direction_18mo
ENSDARG00000104632,RERG,-0.3974,1.242,0.022856,True,up_in_MUT
ENSDARG00000100660,si_ch73-252i11.1,0.2197,-0.3243,0.121484,False,not_significant
ENSDARG00000100422,ptpro,1.1556,-3.3544,1.2e-05,True,down_in_MUT
ENSDARG00000102128,eps8a,0.0856,-0.6134,0.059911,False,not_significant
ENSDARG00000103095,tbk1,0.3191,0.0581,0.367943,False,not_significant
ENSDARG00000102226,gpr19,0.5539,-0.8833,0.01266,False,not_significant
ENSDARG00000104049,crebl2,0.0754,0.6349,0.004751,False,not_significant
ENSDARG00000102474,dusp16,-0.2379,0.612,0.002807,False,not_significant
ENSDARG00000100143,lrp6,-0.0424,-0.0916,0.357027,False,not_significant
ENSDARG00000098311,si_zfos-932h1.3,-0.4651,0.4058,0.189308,False,not_significant
ENSDARG00000102123,phtf2,-0.4283,1.0021,0.002216,True,up_in_MUT
ENSDARG00000102141,ptpn12,-0.0421,0.731,0.023885,False,not_significant
ENSDARG00000099787,echdc3,-0.0055,0.459,0.24677,False,not_significant
ENSDARG00000045914,si_ch211-51e12.7,0.4605,-0.7337,0.000667,False,not_significant
ENSDARG00000045913,mrps10,-0.156,0.8558,0.010765,False,not_significant
ENSDARG00000045911,tulp4a,0.0884,-0.1969,0.264708,False,not_significant
ENSDARG00000045910,tmem181,0.5843,-1.2777,1e-06,True,down_in_MUT
ENSDARG00000045909,dynlt1,2.4655,-2.1091,0.00021,True,down_in_MUT
ENSDARG00000025073,rpl18a,-0.1763,0.7018,0.006254,False,not_significant
ENSDARG00000031737,pthlha,0.4166,0.854,0.216323,False,not_significant
ENSDARG00000099652,xpot,0.6266,-1.0989,0.000422,True,down_in_MUT
ENSDARG00000101047,rtcb,0.0635,0.2121,0.212523,False,not_significant
ENSDARG00000099833,fbxo7,0.3283,-0.358,0.19079,False,not_significant
ENSDARG00000103870,CU855889.2,1.3514,-1.6664,0.048479,True,down_in_MUT
ENSDARG00000096118,ost4,-0.3524,-0.0251,0.394514,False,not_significant
ENSDARG00000045900,agbl5,0.7665,-1.2712,6.1e-05,True,down_in_MUT
ENSDARG00000016968,tmem214,0.757,-1.2228,7.1e-05,True,down_in_MUT
ENSDARG00000102878,mapre3b,-0.1396,0.6075,0.031741,False,not_significant
ENSDARG00000059311,dpysl5b,-0.5723,0.2372,0.235848,False,not_significant
ENSDARG00000017386,sobpb,-0.3782,0.9137,0.021756,False,not_significant
ENSDARG00000045898,si_ch211-152c2.3,0.1564,0.5357,0.065107,False,not_significant
ENSDARG00000006060,crybg1b,0.3421,-0.4145,0.187686,False,not_significant
ENSDARG00000104018,mtpn,0.2232,0.3511,0.090564,False,not_significant
ENSDARG00000070535,ripply2,0.0827,-4.4247,1.3e-05,True,down_in_MUT
ENSDARG00000013789,sim1b,0.8059,-0.1945,0.316551,False,not_significant
ENSDARG00000063686,atp23,-0.11,0.4668,0.095959,False,not_significant
ENSDARG00000087962,rpap3,0.6637,-0.4783,0.092511,False,not_significant
ENSDARG00000099313,naga,0.1594,-0.1414,0.34162,False,not_significant
ENSDARG00000103102,FAM180A,0.0915,-1.9592,0.01178,True,down_in_MUT
ENSDARG00000102340,ptn,1.0239,-1.9134,0.022982,True,down_in_MUT
ENSDARG00000099129,phlda1,-0.6494,1.7861,0.000224,True,up_in_MUT
ENSDARG00000101813,nap1l1,0.6042,-0.9656,0.009883,False,not_significant
ENSDARG00000063672,zmp_0000000711,1.0753,-0.9773,0.011983,False,not_significant
ENSDARG00000018149,slc38a4,-0.2426,-0.0617,0.378161,False,not_significant
ENSDARG00000045886,slc38a2,-0.0021,1.1001,0.000412,True,up_in_MUT
ENSDARG00000045885,scaf11,0.0401,0.0673,0.3609,False,not_significant
ENSDARG00000007413,arid2,0.7425,-1.1114,0.000137,True,down_in_MUT
ENSDARG00000097341,CR847994.1,-0.5785,-0.2355,0.325637,False,not_significant
ENSDARG00000045880,gas2l3,-0.5401,0.3496,0.191911,False,not_significant
ENSDARG00000009657,fgfr1op2,-0.0604,0.2947,0.156361,False,not_significant
ENSDARG00000093658,tm7sf3,-0.4616,0.6824,0.003748,False,not_significant
ENSDARG00000026839,med21,0.1877,-0.6875,0.022711,False,not_significant
ENSDARG00000016979,pmpcb,0.0333,0.5321,0.045942,False,not_significant
ENSDARG00000070477,dnajc2,0.5845,-0.3714,0.181569,False,not_significant
ENSDARG00000045878,nudt4b,1.4864,-1.7721,0.000595,True,down_in_MUT
ENSDARG00000045877,ube2nb,0.0886,0.2985,0.123339,False,not_significant
ENSDARG00000079391,mrpl42,-0.2942,0.4557,0.074617,False,not_significant
ENSDARG00000015921,pwp1,0.4621,-0.6637,0.09754,False,not_significant
ENSDARG00000061544,ano6,-0.5297,0.5421,0.120385,False,not_significant
ENSDARG00000009262,FAR2,0.075,0.6414,0.067389,False,not_significant
ENSDARG00000018618,cpsf6,0.1702,-0.0228,0.386003,False,not_significant
ENSDARG00000045874,yeats4,-0.2604,-0.274,0.239569,False,not_significant
ENSDARG00000045873,frs2a,0.2746,-0.6172,0.164808,False,not_significant
ENSDARG00000079143,si_ch73-278m9.1,-0.0728,0.7499,0.044108,False,not_significant
ENSDARG00000057714,cmah,-0.3793,-0.3856,0.287597,False,not_significant
ENSDARG00000045224,glipr1a,-0.1556,0.9727,0.02049,False,not_significant
ENSDARG00000011246,krr1,0.3869,0.2378,0.276167,False,not_significant
ENSDARG00000039724,OSBPL8,0.0732,-1.2833,0.062169,False,not_significant
ENSDARG00000070441,zdhhc17,-0.1079,-0.8672,0.04208,False,not_significant
ENSDARG00000011961,csrp2,0.3844,1.025,0.00839,True,up_in_MUT
ENSDARG00000008986,e2f7,1.0583,-3.5492,1e-06,True,down_in_MUT
ENSDARG00000008235,cog5,0.1528,-0.5983,0.128648,False,not_significant
ENSDARG00000004592,gpr22a,0.2359,0.2514,0.305494,False,not_significant
ENSDARG00000006567,dus4l,0.0459,0.1381,0.315994,False,not_significant
ENSDARG00000016231,bcap29,0.6838,-0.2902,0.20856,False,not_significant
ENSDARG00000016749,slco1c1,0.9735,-1.128,0.000925,True,down_in_MUT
ENSDARG00000004227,pde3a,-0.0954,0.6654,0.054597,False,not_significant
ENSDARG00000006038,aebp2,-0.0336,-0.3256,0.209435,False,not_significant
ENSDARG00000045870,plekha5,-0.1498,-0.426,0.060282,False,not_significant
ENSDARG00000060248,fgd4b,-0.1927,-1.4174,,False,not_significant
ENSDARG00000017757,pik3cg,0.2649,0.7931,0.030701,False,not_significant
ENSDARG00000030598,nampta,-0.0266,0.9562,0.006477,False,not_significant
