source,target,mor,target_stat
SMAD3,JUN,1.0,3.396546800075237
SMAD4,JUN,1.0,3.396546800075237
SP1,ALDOA,1.0,2.5735687391161703
ZBTB16,CCNA2,-1.0,-7.72999844065542
TP53,RB1,-1.0,-3.3596036438931587
TP53,ACTA1,1.0,2.155424291490793
IRF1,IRF1,1.0,2.493892118109921
TP53,CCNB1,-1.0,-5.148531837620426
RARA,SFTPB,1.0,3.13210155475697
TP53,JUN,1.0,3.396546800075237
AR,KLK3,1.0,-2.5342249597472484
RARA,ESR1,1.0,-2.4381889131823837
SP1,NF1,1.0,-4.22815962749997
JUN,DCTN1,1.0,-2.2323609679853686
ATF4,ATF3,1.0,4.459327535450048
STAT1,IRF8,1.0,2.643376952496637
SP1,RAC2,1.0,2.453073471598788
EGR1,IL1B,1.0,3.2461824392939853
FOS,TGFB1,1.0,3.022154808637843
SPI1,REG1A,1.0,-4.10975609942466
NFATC2,TAT,1.0,-2.3668617247279817
SP1,TGFB1,1.0,3.022154808637843
FOS,ERCC1,1.0,-4.829806848598376
ATF2,TNF,1.0,2.941879845906474
JUN,TNF,1.0,2.941879845906474
TP53,PCNA,1.0,-4.844095724228697
AR,AR,1.0,3.159246454108278
ATF2,JUN,1.0,3.396546800075237
ATF2,TNFRSF11A,1.0,3.243721648061006
JUN,TNFRSF11A,1.0,3.243721648061006
YBX1,XRCC1,1.0,-4.920114078744103
HSF1,TNF,1.0,2.941879845906474
HSF1,IL1B,1.0,3.2461824392939853
EGR1,SRF,1.0,3.9854722411165273
SRF,SRF,1.0,3.9854722411165273
MEF2A,JUN,1.0,3.396546800075237
E2F1,DHFR,1.0,-4.890353463827325
JUN,THBS1,1.0,3.6668201069002913
TP53,NDN,1.0,-4.121259034662019
TP53,PGAM2,1.0,3.119141417204406
STAT1,SOCS3,1.0,3.3774192114124952
STAT3,SOCS3,1.0,3.3774192114124952
EGR1,MMP12,-1.0,3.2523170407473603
JUN,JUN,1.0,3.396546800075237
SP1,CEBPA,-1.0,4.421536560150719
STAT6,CREBBP,1.0,-2.7490730345206087
SP1,CYP11A1,1.0,-2.567637075579284
ESR1,COMT,1.0,3.2796575474837084
EGR1,TKT,1.0,-4.135642432536702
TP53,GABRA6,1.0,-4.613602562961828
IRF1,TNF,1.0,2.941879845906474
JUN,SFTPB,-1.0,3.13210155475697
ESR1,CKB,1.0,-4.03990961979884
SP1,HPN,1.0,-4.014422079351741
JUN,SPI1,1.0,3.192810585510937
SPI1,JUN,1.0,3.396546800075237
ESR1,C3,1.0,-6.0987078126101535
EGR1,TNF,1.0,2.941879845906474
SP1,FN1,1.0,3.453844507751022
FOS,FN1,1.0,3.453844507751022
JUN,FN1,1.0,3.453844507751022
EGR1,MMP14,1.0,3.835413434787864
TP53,PVR,1.0,2.728287428109234
TP53,CREBBP,1.0,-2.7490730345206087
ESR1,TNFRSF11A,1.0,3.243721648061006
SP1,TNFRSF11A,1.0,3.243721648061006
SP1,SPI1,1.0,3.192810585510937
SPI1,CYP11A1,1.0,-2.567637075579284
SPI1,IL1B,1.0,3.2461824392939853
CEBPB,IL1B,1.0,3.2461824392939853
CREB1,JUN,-1.0,3.396546800075237
RELA,TNF,1.0,2.941879845906474
NFKB1,TNF,1.0,2.941879845906474
CEBPB,CETP,1.0,-2.9591803268584407
E2F1,RB1,1.0,-3.3596036438931587
SP1,PDLIM7,1.0,4.0344630552332985
SP1,MMP2,1.0,3.059795577702193
ETV4,MMP2,1.0,3.059795577702193
TP53,CDK1,-1.0,-6.596641118498787
TP53,STMN1,-1.0,-4.991074712707497
TP53,SGIP1,1.0,-2.357187738068916
ESR1,HRAS,1.0,-2.2774291140518197
MYOD1,CDKN1C,1.0,-3.7633357855074343
MYOD1,CDK2,1.0,-10.849427631653183
MEF2C,JUN,1.0,3.396546800075237
STAT6,IRF1,1.0,2.493892118109921
STAT1,IRF1,1.0,2.493892118109921
MEF2A,NR4A1,1.0,3.1465592465857655
MEF2A,CABIN1,1.0,-4.047317297592125
FOS,CEBPB,1.0,3.709366240694985
SP1,NFYA,1.0,-2.6239273395526155
CEBPB,CEBPB,1.0,3.709366240694985
MYB,CEBPB,1.0,3.709366240694985
CEBPB,CEBPA,1.0,4.421536560150719
CREB1,TNF,1.0,2.941879845906474
TP53,ING1,1.0,-3.0137111105519407
ELF1,BRCA2,1.0,-7.856314313489825
SP1,TNF,1.0,2.941879845906474
SP1,CD74,1.0,3.67163172498388
JUND,NR4A1,1.0,3.1465592465857655
IRF1,NCF2,1.0,3.014392872371178
IRF1,CREBBP,1.0,-2.7490730345206087
YBX1,TAT,1.0,-2.3668617247279817
SP1,EMB,1.0,-6.398906179068824
ATF2,PVR,1.0,2.728287428109234
MYB,CCNA1,1.0,-3.336516744831995
E2F1,CCNA2,1.0,-7.72999844065542
TP53,TNFRSF10B,1.0,3.243721648061006
SP1,SRF,1.0,3.9854722411165273
TP53,TGFB1,1.0,3.022154808637843
SP1,ACLY,-1.0,2.2933213785301207
AR,PIAS1,1.0,-2.281584332320854
SP1,TNXB,1.0,-3.381918943567929
