,activity,pval
AP1,6.536207581766092,2.283295863492185e-08
TP53,6.416567465172896,3.353998678790049e-08
HIF1A,5.722284123925257,1.4991874195402488e-06
JUN,5.48837575179621,4.8063402573461644e-06
NFKB,5.006840106491477,5.5886717746034265e-05
ETS1,4.974765362045276,5.77169812459033e-05
SMAD3,4.924454249750705,6.640511855948716e-05
ETS2,4.7782495244634156,0.000124758793390356
JUND,4.715906321667037,0.00015426274330820888
SRF,4.665244420774522,0.00017124146688729525
FOXO3,4.660244585340394,0.00017124146688729525
MEF2A,4.527480582387202,0.0002843962574843317
NFATC1,4.5243323058026546,0.0002843962574843317
EGR1,4.4439867973556275,0.0003883866302203387
SP1,4.331686608576185,0.000612053379882127
SPI1,4.316169059407974,0.0006201352807693183
RUNX1,4.219945404177733,0.0008585380273871124
ATF2,4.092506078497259,0.0013793085236102343
ESR1,4.086855250057832,0.0013793085236102343
RELA,4.079236637181801,0.0013793085236102343
STAT3,4.030570310044425,0.0015622592763975263
NFE2L2,4.02029897024446,0.0015691124135628343
FOS,4.010734102988282,0.0015734628541395068
AR,3.9799858233729055,0.001727278926409781
ATF4,3.9661176305626706,0.0017676149727776647
JUNB,3.8897545744340336,0.00234619271941483
NFATC2,3.829810869250094,0.002900901949033141
EGR2,3.7322400080743283,0.00403112405911088
MYOG,3.659498421602034,0.005208251532167196
SMAD1,3.631160353309021,0.005648232065141201
TP63,3.59380349265127,0.006341633386909962
TBX21,3.5856400354595492,0.006366324611008167
EPAS1,3.5721869395528545,0.006525866221636534
MYOD1,3.5138694459689797,0.007930574007332325
MEF2C,3.4540211826829363,0.00966787338256836
STAT1,3.426948577254351,0.010423539206385612
ETV4,3.4041130202559606,0.011064504273235798
ERG,3.3806125262356312,0.011774231679737568
REL,3.343203340282525,0.012907539494335651
NFKB1,3.3426465742875013,0.012907539494335651
CEBPB,3.331626818885624,0.013137218542397022
CLOCK,3.315869612708117,0.013604403473436832
RARA,3.3081264810290136,0.013694508001208305
KLF15,3.291850918701752,0.014215332455933094
NFATC4,3.2607992725365884,0.015548805706202984
HSF1,3.246786014279118,0.01595478318631649
ETV2,3.2409065047682573,0.01595478318631649
CREB1,3.236871951307891,0.01595478318631649
ZBTB16,3.1836099606128476,0.01884462498128414
MYB,3.1093905081007995,0.023759743198752403
YBX1,3.006936664130457,0.03181830793619156
CEBPZ,3.0008964663725455,0.03190574795007706
NFAT5,2.971481190154876,0.03453968092799187
MSC,2.964635899519382,0.03473803028464317
STAT6,2.958468078954625,0.03486872464418411
BCL6,2.940780669145944,0.03625437989830971
IRF1,2.9321896880759946,0.03625437989830971
TFAP4,2.931773585893279,0.03625437989830971
GATA2,2.9160344043094337,0.03755554184317589
RARG,2.882932862265118,0.041112128645181656
SP7,2.844959757463693,0.044588323682546616
ELF1,2.843312088232102,0.044588323682546616
SMAD4,2.8361515706846703,0.044957537204027176
SIX1,2.7556058653401694,0.056092534214258194
NCOA2,2.7436500395824424,0.056363414973020554
RUNX2,2.7409750932745136,0.056363414973020554
SP3,2.7408137473639105,0.056363414973020554
NFIL3,2.73466026741116,0.056681446731090546
SNAI1,2.70640714185637,0.06094370409846306
ELF3,2.6979043562997664,0.06173007935285568
TFAP2A,2.6813962390242425,0.0640476644039154
POU1F1,2.6474793095137024,0.06827864050865173
MYF5,2.6075775524779274,0.07585624605417252
ELF2,2.5781264377039728,0.07913021743297577
HEY2,2.577986215380084,0.07913021743297577
FOXO1,2.5770471463205746,0.07913021743297577
CEBPD,2.5770235018544723,0.07913021743297577
ATF1,2.5695250723013685,0.07995401322841644
ARNT,2.532889702849201,0.08686011284589767
SMAD2,2.5170275327017144,0.08988069742918015
NFATC3,2.494391094384031,0.09478922188282013
BMAL1,2.4710600467566235,0.09907107055187225
SCX,2.4565242128239078,0.10209450870752335
HBP1,2.450795785798951,0.10266353189945221
HOXD3,2.4324463913793375,0.10691113770008087
NRF1,2.4116268404450407,0.1098494827747345
PPARD,2.3988427212899164,0.1126435175538063
ZNF331,2.373333240808238,0.11955875158309937
NFKBIB,2.353516245512652,0.12132992595434189
TFAP2C,2.3525983878965184,0.12132992595434189
TP73,2.3507463854465893,0.12132992595434189
BMAL2,2.3433411719134702,0.12132992595434189
IRF4,2.3432322516890705,0.12132992595434189
KAT7,2.340077738693991,0.12132992595434189
NCOA3,2.330638087439764,0.12278138846158981
BCL11A,2.3289416208185716,0.12278138846158981
PBX2,2.322689719461638,0.12374801933765411
MZF1,2.3083672101495347,0.12559755146503448
SOX6,2.3073198964467307,0.12559755146503448
ARID5B,2.307311790753733,0.12559755146503448
PRRX1,2.2958146784463866,0.12837356328964233
PLAGL2,2.292045580667346,0.12856528162956238
FOSL2,2.2811770866610486,0.12917542457580566
ZBTB4,2.280140013235748,0.12917542457580566
HOXA1,2.2748991776350644,0.12917542457580566
RELB,2.2745647439405623,0.12917542457580566
HNF1B,2.260137010054238,0.13282836973667145
NRG1,2.194010127913745,0.15527531504631042
SSRP1,2.183359968910636,0.15828737616539001
ZNF384,2.17155412376534,0.16086982190608978
BCL3,2.1708353854958036,0.16086982190608978
MYRF,2.162339341946108,0.16309747099876404
TGFB1I1,2.145917452914141,0.16867166757583618
PRDM4,2.1310691420512264,0.17166410386562347
KLF10,2.1308993955309092,0.17166410386562347
STAT4,2.129861941708056,0.17166410386562347
TCF7L2,2.115531959049625,0.17657020688056946
STAT2,2.0981838603867717,0.18149620294570923
STAT5A,2.0950772611283246,0.18149620294570923
