,activity,pval
E2F4,4.300989340604016,0.0022820772137492895
E2F1,3.7151032210261263,0.01045132800936699
ARID3A,3.536742983755112,0.015927579253911972
ARID4B,2.6512541194914125,0.09722937643527985
KCNIP3,2.4747608283549627,0.1193525567650795
HIPK2,2.462800838024677,0.1193525567650795
ZNF410,2.439158229946176,0.12267158180475235
FHL2,2.289262596691717,0.1516055017709732
TFDP2,2.170256487006168,0.1885293573141098
AEBP1,2.1521001739468697,0.19350168108940125
HNF1A,2.141533749884377,0.19350168108940125
FOXJ1,2.0922814237110843,0.20831945538520813
SMARCA4,2.0496001989613912,0.21888262033462524
HCFC1,2.040969045644018,0.21895089745521545
BCOR,2.0394797070512882,0.21895089745521545
MEOX1,2.0014814309708053,0.23239348828792572
TFDP1,1.9915520092348358,0.23418648540973663
E2F3,1.9713594699240404,0.23418648540973663
HOXB3,1.909482791144397,0.2530021071434021
HDAC3,1.8980099522796032,0.25738510489463806
DNMT3A,1.8454168808055278,0.27402547001838684
ZNF143,1.838584957863791,0.2747247815132141
TAF1,1.8336704984112453,0.27602458000183105
HDAC7,1.7727354032147986,0.2969506084918976
PATZ1,1.7709679504789626,0.2969506084918976
APEX1,1.7477498221733803,0.30718299746513367
E2F2,1.659486806299356,0.3383796215057373
HOXB13,1.6205923637475008,0.3502465784549713
NR5A2,1.55746148860537,0.3669394552707672
BHLHE41,1.530943853784616,0.37405580282211304
FOXF2,1.4734250930707882,0.39361611008644104
ZEB1,1.4286368900636213,0.40775033831596375
THAP11,1.4245990784344698,0.40775033831596375
HOPX,1.3843283505130095,0.42121702432632446
NKX6-1,1.3801794468920525,0.42121702432632446
SMARCA1,1.3753047823200004,0.42121702432632446
IRF9,1.3487299711623661,0.4344869554042816
NR1H2,1.3426199787822446,0.4361070692539215
NR1D1,1.3021447118119027,0.45084720849990845
SIN3A,1.2918445164025614,0.45084720849990845
TRERF1,1.2882903296393529,0.45084720849990845
ZBTB33,1.260857479944842,0.46348172426223755
ZNF382,1.2557788379370922,0.4643034338951111
BRCA1,1.2378321096483904,0.4720018804073334
HNF1B,1.2349154879848572,0.4720441699028015
BHLHA15,1.2282476964820614,0.47511762380599976
TBPL1,1.2009876893176903,0.48946505784988403
ZNF350,1.1936657564337099,0.49279698729515076
FOXL2,1.1656876016344768,0.5041806101799011
PTF1A,1.1308836828503546,0.5289592146873474
TBPL2,1.1248911558469934,0.5325073599815369
PAWR,1.112600490773952,0.5369364023208618
ZNF436,1.0965193947377079,0.5376721620559692
ZIC1,1.0886257534789041,0.5413011312484741
MTA3,1.0639701746350136,0.5515377521514893
CDX2,1.0612703063928957,0.5522968769073486
HDAC5,1.0474346385489275,0.562797486782074
ZGPAT,1.0329442074793835,0.5691186785697937
