,q1_activity,q1_pval,age_activity,age_pval,sig_q1,sig_age,sig_both,same_direction
E2F1,-7.603676276632099,2.1450346707196918e-11,0.31968802597627727,0.9259219765663147,True,False,False,False
E2F4,-6.0137921591961865,3.246311734983465e-07,0.24205248624009057,0.9463640451431274,True,False,False,False
FOXJ1,-4.234781133759585,0.0008461543475277,1.7554679001661047,0.40649551153182983,True,False,False,False
E2F3,-4.057859197658761,0.0014486578293144,-0.84700359223664,0.7673507332801819,True,False,False,True
E2F2,-3.7959069007929545,0.003223113482818,-0.41684046015502274,0.9062198996543884,True,False,False,True
HCFC1,-3.105093727503124,0.0237597431987524,0.051206569010233,0.9889141321182251,True,False,False,False
TFDP1,-3.097875066700843,0.0239186082035303,-0.6501042142706098,0.822526216506958,True,False,False,True
ARID4B,-2.8460603315203548,0.0445883236825466,0.6323139452315998,0.8325351476669312,True,False,False,False
GLI2,-2.776938553018571,0.0532720796763896,0.6877093517467792,0.817372739315033,False,False,False,False
ZNF143,-2.676491365008705,0.0641898363828659,0.7452565126325791,0.8015767335891724,False,False,False,False
HOXB13,-2.6629111459141916,0.0660223737359047,1.302153698486298,0.5829251408576965,False,False,False,False
ZNF382,-2.555484511758049,0.0823263600468635,1.0971846895774768,0.6695696115493774,False,False,False,False
HDAC7,-2.475503512545204,0.0988882929086685,-1.3128261501351697,0.5829251408576965,False,False,False,True
SMARCA1,-2.425169065267789,0.10797581076622,0.39683700065595306,0.9062198996543884,False,False,False,False
PAWR,-2.41810573263549,0.1089928969740867,0.8941141277893402,0.7564019560813904,False,False,False,False
DLX1,-2.3650702740537746,0.1210833266377449,1.5647414400639599,0.4889094829559326,False,False,False,False
ARID3A,-2.3488722218794043,0.1213299259543418,0.10089139322094119,0.9714920520782471,False,False,False,False
MYCN,-2.2873438521690277,0.1290808618068695,-2.2648615346833534,0.2079630196094513,False,False,False,True
ZBTB14,-2.257749146316394,0.1328283697366714,1.244970630601079,0.6138267517089844,False,False,False,False
SMARCA5,-2.097120362680743,0.1814962029457092,0.7234124417193531,0.8021367788314819,False,False,False,False
FOXD1,-2.092608131249591,0.1814962029457092,-0.3693230512055949,0.9134213924407959,False,False,False,True
NEUROG3,-2.0546011082954476,0.1909328550100326,1.8903903807401599,0.3533788025379181,False,False,False,False
HIPK2,-1.9519666204018689,0.226899191737175,0.1351264763285041,0.9714920520782471,False,False,False,False
ZMYND8,-1.9098331521327905,0.2420440465211868,-1.481008625465473,0.5157152414321899,False,False,False,True
MTF2,-1.8617287451596496,0.2528277337551117,0.6142171141101487,0.8399097323417664,False,False,False,False
MYBL2,-1.8381608808606125,0.2650042176246643,-0.308303392831156,0.9306084513664246,False,False,False,True
KCNIP3,-1.8308984737178216,0.2677858769893646,-0.14284209587970922,0.9714920520782471,False,False,False,True
OLIG2,-1.80889623772899,0.2779772579669952,-0.39536518794894876,0.9062198996543884,False,False,False,True
INSM1,-1.8013538100873747,0.2810430526733398,1.8979578329568307,0.35080549120903015,False,False,False,False
FOXM1,-1.737418374667939,0.3123426437377929,3.1331153217861827,0.034569136798381805,False,True,False,False
DMRT1,-1.7255002589473258,0.3147328197956085,1.608040974918016,0.4789450466632843,False,False,False,False
ZFHX3,-1.6690918139024018,0.3405256271362304,0.6857536442318167,0.817372739315033,False,False,False,False
STOX1,-1.5458396321047096,0.3875967562198639,-0.47200309459072814,0.8873828649520874,False,False,False,True
HINFP,-1.5435539841105193,0.3875967562198639,0.4428725416825194,0.8964123725891113,False,False,False,False
FOXG1,-1.4986210463732748,0.4036417007446289,-0.4226292479256393,0.9045389890670776,False,False,False,True
DAXX,-1.481300705166139,0.4126506745815277,2.2079589353046813,0.223888099193573,False,False,False,False
UTF1,-1.4655265579697443,0.4146287739276886,-0.47756467655880724,0.8871720433235168,False,False,False,True
HOXC8,-1.46012182315979,0.4146287739276886,1.3604180137881632,0.5666226148605347,False,False,False,False
BCOR,-1.4183079222140362,0.4358997642993927,-0.7187327428222808,0.8021367788314819,False,False,False,True
ZIC2,-1.4122602902671582,0.4390919804573059,1.3950624148185684,0.5489457249641418,False,False,False,False
DNMT3A,-1.380748661139047,0.4518540203571319,1.7739098069983052,0.3973785638809204,False,False,False,False
OTX2,-1.364516134089097,0.4541701674461365,-1.564981044294438,0.4889094829559326,False,False,False,True
ZKSCAN7,-1.341543882888952,0.4717196226119995,0.3795318148157787,0.9100565314292908,False,False,False,False
SMARCA4,-1.310430145001822,0.4932011663913727,-0.033573582794000384,0.9931373596191406,False,False,False,True
E2F5,-1.251854421735335,0.5220219492912292,0.7045886356675461,0.8071945905685425,False,False,False,False
PATZ1,-1.2457686476004577,0.5220219492912292,-2.007162292114032,0.31874945759773254,False,False,False,True
LEF1,-1.24525815181046,0.5220219492912292,-1.0159711766748556,0.7040518522262573,False,False,False,True
HDAC9,-1.240661499714236,0.5241172909736633,1.1487599258011045,0.6635387539863586,False,False,False,False
ZNF236,-1.222132620205689,0.5354055166244507,2.558443637455367,0.11849422007799149,False,False,False,False
PAX9,-1.2125441747109758,0.5389864444732666,0.8213043467805399,0.7826116681098938,False,False,False,False
FOXA3,-1.1988629464852685,0.5469216108322144,2.663218265039337,0.106056809425354,False,False,False,False
SRY,-1.1934468318135654,0.5469216108322144,1.7034470101976875,0.42605942487716675,False,False,False,False
NR6A1,-1.188933515088191,0.5492352843284607,1.4734420808448139,0.5157152414321899,False,False,False,False
NONO,-1.182716244716152,0.5495041608810425,-0.2710719452007118,0.9391927123069763,False,False,False,True
PRDM16,-1.1768325821713008,0.5495041608810425,0.5104467467775252,0.8830636143684387,False,False,False,False
TOX3,-1.1725801605588058,0.5515010952949524,0.5498535398344108,0.8747797608375549,False,False,False,False
TCF15,-1.142942365081021,0.5698456168174744,-0.23582031574787082,0.9463640451431274,False,False,False,True
GBX2,-1.0939562042038988,0.5908405780792236,-0.8082554861636289,0.7884209752082825,False,False,False,True
LRRFIP1,-1.058305959000711,0.6077324748039246,0.3545320671662021,0.9141597747802734,False,False,False,False
SALL4,-0.994492203362565,0.644940197467804,-0.7665225055601003,0.7992544770240784,False,False,False,True
HOXA2,-0.992640121641976,0.644940197467804,0.7127214156709514,0.8026222586631775,False,False,False,False
ARID3B,-0.9894713411133522,0.644940197467804,1.076504367726572,0.6804206967353821,False,False,False,False
MLXIPL,-0.9875441945127656,0.644940197467804,2.0363674029797685,0.3003087341785431,False,False,False,False
ZGPAT,-0.9511405573549756,0.660394012928009,0.9773218183900342,0.7182358503341675,False,False,False,False
NR5A1,-0.9422215889723374,0.6637461185455322,0.6816294107604336,0.8175334334373474,False,False,False,False
SRSF2,-0.9335674060703154,0.6652656197547913,-1.139532147626324,0.6635387539863586,False,False,False,True
NR5A2,-0.8965946900057322,0.6837133169174194,3.8017515383221636,0.0062128277495503426,False,True,False,False
HDAC3,-0.8804115020519128,0.6900768876075745,-0.0982676837901313,0.9714920520782471,False,False,False,True
PAX4,-0.8617581331638776,0.7013120055198669,-1.1335645788849396,0.6637965440750122,False,False,False,True
SKIL,-0.8467288074353558,0.707037627696991,-0.3884331816050423,0.9086238145828247,False,False,False,True
NR1D2,-0.8363378524588201,0.7139087915420532,0.40410362053013943,0.9062198996543884,False,False,False,False
SP2,-0.8195389189070862,0.7252410650253296,2.476292214730949,0.13843278586864471,False,False,False,False
POU3F1,-0.8131638268057864,0.7298113107681274,-0.2269047703629942,0.9481555223464966,False,False,False,True
ZNF395,-0.8039252492251215,0.7320618629455566,0.05970618623381824,0.9877691268920898,False,False,False,False
CIITA,-0.7910263235563911,0.7365642786026001,-1.2901282758367443,0.5902407169342041,False,False,False,True
ATOH7,-0.7846308020689965,0.7365642786026001,-1.4729134040723868,0.5157152414321899,False,False,False,True
ISL1,-0.7843559132520294,0.7365642786026001,0.903805052305027,0.7558191418647766,False,False,False,False
SF1,-0.7713100073206096,0.7409514784812927,0.5309270168173583,0.8806014060974121,False,False,False,False
SALL3,-0.7675449710369091,0.7429192066192627,-0.11260082952691086,0.9714920520782471,False,False,False,True
NPAS4,-0.7567948972922496,0.7466331720352173,0.7691650900437038,0.7989190816879272,False,False,False,False
HDAC5,-0.7513590858232314,0.7483651638031006,-0.9541002951159889,0.7296963930130005,False,False,False,True
ZEB1,-0.7419134285517275,0.7506826519966125,-0.6568811895536353,0.8203807473182678,False,False,False,True
NR2C1,-0.7247934788974828,0.7624171376228333,1.1013613221093965,0.6695696115493774,False,False,False,False
PREB,-0.7172313745346038,0.7631797790527344,1.816294607433339,0.3795928657054901,False,False,False,False
LHX2,-0.714615724223648,0.7631797790527344,-1.2820338177864132,0.5908479690551758,False,False,False,True
TAF1,-0.7133843178909623,0.7631797790527344,-0.3303551371602822,0.9237741827964783,False,False,False,True
SHOX2,-0.6988750389004559,0.7723298072814941,-0.09866148134721532,0.9714920520782471,False,False,False,True
PROP1,-0.6946075101611584,0.7737152576446533,1.4089030416197745,0.5383662581443787,False,False,False,False
VSX2,-0.6743005270899787,0.7865373492240906,0.34987582102851134,0.914611279964447,False,False,False,False
LHX3,-0.6739297782372797,0.7865373492240906,1.6666137306390596,0.4449285864830017,False,False,False,False
FOXD3,-0.6736132938600166,0.7865373492240906,1.3223689722100789,0.5829251408576965,False,False,False,False
THAP11,-0.6517791305946105,0.798132061958313,-0.08159512144325885,0.9784243106842041,False,False,False,True
GCM1,-0.6436951708222131,0.8024259209632874,0.1194394093961385,0.9714920520782471,False,False,False,False
PRDM2,-0.6421728963897839,0.8024259209632874,0.3033120194105902,0.9306084513664246,False,False,False,False
FOXA1,-0.6319044493081639,0.8098406195640564,4.162996332097985,0.0018386321607977152,False,True,False,False
