,activity,pval
HNF1A,8.579631515409158,7.380979880837035e-15
HNF4A,7.58029918706198,1.2836026512530463e-11
CEBPG,5.808656964866736,1.4991010175435804e-06
NR1I3,5.551278852735146,5.044327281211736e-06
NR1H3,5.351062557636834,1.2411074749252293e-05
CDX2,4.607384617376817,0.0003591137647163123
NR1H4,4.4391709446693115,0.0007060708594508469
CEBPA,4.379352878017956,0.000837261148262769
FEV,4.268464235308699,0.0012576774461194873
FOXA1,4.162996332097985,0.0018386321607977152
PPARA,4.1336193504523076,0.0019292003707960248
FOXA2,3.8671215763854065,0.005517057608813047
NR5A2,3.8017515383221636,0.0062128277495503426
AHR,3.620164335263858,0.010313673876225948
CEBPB,3.591147443372088,0.010834531858563423
USF2,3.566577352525182,0.010834531858563423
RXRA,3.559737151199075,0.010834531858563423
FOXO1,3.4933177377712243,0.012849240563809872
SREBF1,3.4282102323798735,0.01575501449406147
DBP,3.403532227750667,0.016632042825222015
NKX6-1,3.3611288093457308,0.018736582249403
NCOA1,3.323002674681407,0.020776402205228806
ONECUT1,3.2540565076796253,0.02568114548921585
AP1,3.212158960117438,0.028805211186408997
FOXM1,3.1331153217861827,0.034569136798381805
CEBPE,2.980159536094889,0.051656387746334076
USF1,2.788722623303845,0.08406510204076767
SP1,2.7633249236784088,0.08693931251764297
FOXA3,2.663218265039337,0.106056809425354
CREB3L3,2.655910031974057,0.10629735141992569
ETV7,2.636704973428392,0.10931705683469772
HOXB3,2.57882613502961,0.11849422007799149
HNF4G,2.566427438717547,0.11849422007799149
SOX2,2.563472422827587,0.11849422007799149
ESRRA,2.5627803059111103,0.11849422007799149
ZNF236,2.558443637455367,0.11849422007799149
SPDEF,2.5516757703510065,0.11890178918838501
ZNF335,2.528503236857994,0.12313353270292282
SP2,2.476292214730949,0.13843278586864471
TFE3,2.44043839543954,0.14852774143218994
NR2F1,2.411581166910966,0.15851692855358124
TLX2,2.393361898400269,0.16324521601200104
PGR,2.385538969119506,0.16324521601200104
PDX1,2.385436510078623,0.16324521601200104
NFIA,2.296138443914126,0.19656042754650116
ZGLP1,2.2458609346030705,0.21187996864318848
THRB,2.244723733523056,0.21187996864318848
IRF2,2.243341806928143,0.21187996864318848
DAXX,2.2079589353046813,0.223888099193573
FOXH1,2.1708148311200013,0.24039265513420105
GLI1,2.130867829766435,0.2568524479866028
NR2F6,2.0628320196081087,0.28903985023498535
CREB3,2.060826074550104,0.28903985023498535
MLXIPL,2.0363674029797685,0.3003087341785431
ZNF362,1.993859661761799,0.32239216566085815
HHEX,1.976323999194115,0.33268293738365173
SP3,1.9678735447978195,0.3360223174095154
SPIC,1.9406820886930447,0.33646413683891296
CEBPZ,1.9129834277605244,0.346329003572464
TWIST2,1.9106786608114312,0.346329003572464
