,interaction_log2FC,qvalue,gene_name
ENSDARG00000096045,-3.9,7.92693503456183e-09,si_ch73-263o4.4
ENSDARG00000016656,-2.8708,7.92693503456183e-09,mgme1
ENSDARG00000055739,-11.6769,1.878381726665066e-08,ribc1
ENSDARG00000023036,-3.289,3.4860390773911864e-07,si_dkey-23a23.2
ENSDARG00000098856,-5.9534,8.904129998254869e-07,RYR2 (1 of many)
ENSDARG00000097889,-7.544,2.166549209822811e-06,si_ch73-265h17.2
ENSDARG00000090820,-5.0523,4.562742327784089e-06,slc2a10
ENSDARG00000002546,-5.8551,6.682333291970137e-06,rundc3ab
ENSDARG00000025788,8.6746,7.457641013761812e-06,chp2
ENSDARG00000061778,-7.1275,7.790691837797893e-06,fmn2b
ENSDARG00000095821,-3.4953,1.5546551840599455e-05,si_dkey-122a22.2
ENSDARG00000099431,-2.7633,1.5546551840599455e-05,med24
ENSDARG00000043474,-3.1622,1.5546551840599455e-05,atp2b3a
ENSDARG00000053728,-9.5302,1.5546551840599455e-05,ttll3
ENSDARG00000059832,-3.3872,2.5469436170309576e-05,adgrb3
ENSDARG00000053558,-7.7304,2.7615139556825137e-05,rtkn2a
ENSDARG00000098650,-5.295,3.266410271701435e-05,iqgap3
ENSDARG00000092624,-6.3885,3.266410271701435e-05,sptbn4b
ENSDARG00000015829,-5.6764,3.479235794118149e-05,mov10a
ENSDARG00000078440,-9.7942,4.501494566472981e-05,ccdc88aa
ENSDARG00000053574,-5.2042,4.501494566472981e-05,fancd2
ENSDARG00000079605,-3.492,4.501494566472981e-05,prmt5
ENSDARG00000070447,-1.5478,4.501494566472981e-05,slc39a9
ENSDARG00000056473,-5.4354,5.5340422029382404e-05,chaf1b
ENSDARG00000014550,-8.9361,6.011567433288202e-05,rfx3
ENSDARG00000034227,-4.0313,6.011567433288202e-05,si_dkey-243i1.1
ENSDARG00000069356,-1.9046,6.011567433288202e-05,adgrl2a
ENSDARG00000040266,-6.0987,6.47917576947939e-05,sox19b
ENSDARG00000098387,3.0211,7.311443716026775e-05,tmem176l.3a
ENSDARG00000003200,-9.3587,8.051378355563355e-05,foxm1
ENSDARG00000005456,-4.035,8.051378355563355e-05,katnb1
ENSDARG00000100292,-8.5531,8.051378355563355e-05,fam166b
ENSDARG00000055232,-5.8063,8.051378355563355e-05,fancc
ENSDARG00000015174,-5.5718,8.051378355563355e-05,atp6v0a1b
ENSDARG00000097285,-9.3394,8.051378355563355e-05,ANPEP
ENSDARG00000091326,-3.7197,8.051378355563355e-05,cep120
ENSDARG00000063158,-9.4201,8.051378355563355e-05,CABZ01081780.1
ENSDARG00000040249,-4.8501,8.051378355563355e-05,tlr18
ENSDARG00000022660,-6.9932,8.100554589864206e-05,armc2
ENSDARG00000100594,-7.3014,9.415607324656807e-05,sez6l
ENSDARG00000068586,-7.5489,9.415607324656807e-05,CU302253.1
ENSDARG00000067596,-6.9836,9.61601960954208e-05,fancb
ENSDARG00000096307,-9.379,9.61601960954208e-05,si_ch73-379f7.5
ENSDARG00000090623,-8.4033,9.61601960954208e-05,si_dkeyp-106c3.1
ENSDARG00000077029,-6.5883,9.61601960954208e-05,bub1
ENSDARG00000099279,-5.4714,9.725741862947635e-05,ift27
ENSDARG00000102624,-3.8791,9.725741862947635e-05,kif22
ENSDARG00000090664,-7.2746,9.725741862947635e-05,moto
ENSDARG00000078760,-8.2855,9.725741862947635e-05,cacna2d3
ENSDARG00000102033,-5.668,9.789786333205541e-05,zgc_193790
ENSDARG00000074132,5.1961,0.00012218369172724126,scpp7
ENSDARG00000058346,-5.5849,0.00012432073372441535,sass6
ENSDARG00000056797,-7.4844,0.00012607871514468613,ppp2r2ca
ENSDARG00000079457,-3.9193,0.00012838670876429527,si_dkey-57h18.1
ENSDARG00000079105,5.0418,0.00012838670876429527,mhc2dab
ENSDARG00000042272,-4.3599,0.00012838670876429527,tmem231
ENSDARG00000075008,-7.7071,0.00012838670876429527,pask
ENSDARG00000019651,-8.6477,0.00012940336873244962,zgc_162239
ENSDARG00000042182,-5.8255,0.00012968952809293657,drc1
ENSDARG00000053386,-7.7546,0.00013088621797531145,wdr27
ENSDARG00000015460,-6.5953,0.00013088621797531145,racgap1
ENSDARG00000027538,-10.3443,0.00013088621797531145,noxred1
ENSDARG00000098330,-6.9487,0.00015213170250452445,spef2
ENSDARG00000045601,-7.2809,0.00016093288490136697,cax1
ENSDARG00000026224,-6.4094,0.00016863698447169238,fanci
ENSDARG00000037782,-5.3614,0.00016863698447169238,sox8b
ENSDARG00000100918,-6.2256,0.00016956880119143233,prc1a
ENSDARG00000079249,-6.5927,0.00017380280596425153,ogdhl
ENSDARG00000010183,-6.0581,0.00017941484028075535,si_ch73-265h17.1
ENSDARG00000051754,-5.6823,0.00018515354595823478,rpgrip1l
ENSDARG00000002597,-10.4358,0.00018595174436333514,pabpc1l
ENSDARG00000092445,-4.7836,0.00018595174436333514,zgc_153352
ENSDARG00000067608,-5.7672,0.00018595174436333514,zswim7
ENSDARG00000055889,-5.322,0.00018595174436333514,zgc_153215
ENSDARG00000105493,-9.6213,0.0001876788248249895,si_ch73-223f5.2
ENSDARG00000061690,-5.31,0.0001876788248249895,nxpe3
ENSDARG00000016161,-9.1839,0.00018865657610544885,ccdc170
ENSDARG00000069742,6.2589,0.00019393712925366296,cul5a
ENSDARG00000070568,-3.8258,0.00020002273261981389,atad5a
ENSDARG00000104656,-4.9599,0.00020547839374299035,si_dkeyp-97a10.3
ENSDARG00000086126,-2.8843,0.00021284803737052087,trim33l
ENSDARG00000061061,-3.1758,0.0002168553570363175,dpagt1
ENSDARG00000079983,-7.1654,0.00021838095640717663,agbl2
ENSDARG00000074746,-5.3898,0.00022523221472082254,kcnd1
ENSDARG00000104105,-3.0594,0.00023025732903628356,ttf2
ENSDARG00000097639,-4.6915,0.00023577841801233573,si_ch73-265h17.4
ENSDARG00000036619,2.5143,0.0002377254590771174,mgat3b
ENSDARG00000009743,-8.3603,0.0002377254590771174,efhc1
ENSDARG00000003989,3.5557,0.00023782091732606658,crhr1
ENSDARG00000022996,-4.0081,0.00023782091732606658,setx
ENSDARG00000100236,-7.0145,0.00024204738244317154,cspp1a
ENSDARG00000104388,-8.8561,0.00024448437665977596,stag3
ENSDARG00000037334,-3.0894,0.00024448437665977596,wdr92
ENSDARG00000002403,-6.2768,0.00024448437665977596,nusap1
ENSDARG00000101020,-7.4926,0.00024448437665977596,KHDRBS3
ENSDARG00000044047,-7.4519,0.0002534159953060488,slc18b1
ENSDARG00000045785,-2.5857,0.0002588714180351242,zgc_103499
ENSDARG00000101171,-6.8272,0.0002588714180351242,FO704786.1
ENSDARG00000087094,-11.3593,0.0002588714180351242,foxa
ENSDARG00000015531,-6.1253,0.0002588714180351242,slc4a8
ENSDARG00000027063,1.6029,0.0002588714180351242,arpc1b
ENSDARG00000017425,-4.2774,0.0002588714180351242,crocc2
ENSDARG00000006474,-8.6067,0.0002694077307344681,saxo2
ENSDARG00000057010,-3.2554,0.0002694077307344681,si_dkey-154b15.1
