Geneid,M3_WT_234,M3_Het_235,M3_Het_251,M3_WT_253,M3_MUT_254,M3_WT_255,M3_MUT_256,M3_WT_257,M3_Het_258,M3_Het_264,M3_WT_270,M3_Het_271,M3_MUT_273
ENSDARG00000104632,21,33,65,53,32,34,36,31,19,35,5,16,27
ENSDARG00000100660,227,181,174,201,639,290,562,411,279,510,77,149,163
ENSDARG00000098417,1,0,0,0,5,1,0,0,0,0,0,0,0
ENSDARG00000100422,22,63,31,29,302,19,28,35,22,56,19,45,26
ENSDARG00000102128,160,174,108,227,313,123,193,81,88,191,17,50,94
ENSDARG00000105186,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000103095,251,221,299,314,657,281,393,282,279,375,53,242,316
ENSDARG00000102226,7,25,13,3,55,3,3,1,5,7,11,6,6
ENSDARG00000104049,330,210,476,512,464,318,530,368,318,584,82,375,470
ENSDARG00000102474,227,141,282,344,396,308,322,282,189,346,93,201,274
ENSDARG00000100143,123,94,173,247,402,196,215,221,141,182,45,146,155
ENSDARG00000101771,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSDARG00000104839,8,7,3,2,11,5,1,7,3,4,4,2,12
ENSDARG00000104373,103,57,170,233,130,99,187,120,172,351,37,142,273
ENSDARG00000098311,234,120,159,128,252,266,230,281,106,187,36,142,133
ENSDARG00000102121,15,9,5,5,15,13,17,15,9,5,0,8,4
ENSDARG00000102123,955,418,1193,1364,1082,1584,1446,1500,731,1134,156,888,925
ENSDARG00000102141,200,117,231,287,197,180,296,231,220,396,19,226,227
ENSDARG00000099787,6,5,28,47,36,12,23,23,29,34,4,15,23
ENSDARG00000070546,7,31,1,1,38,0,4,1,0,4,4,2,3
ENSDARG00000045914,817,1750,890,729,2777,674,1051,746,706,1214,409,905,1157
ENSDARG00000045913,521,249,497,440,344,402,542,403,399,752,110,478,540
ENSDARG00000045911,206,143,290,334,680,262,316,356,153,264,60,218,244
ENSDARG00000102361,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000045910,89,315,135,119,633,118,150,120,106,195,76,162,141
ENSDARG00000045909,7,153,8,5,330,14,16,13,3,19,7,13,3
ENSDARG00000025073,21396,8158,17066,16607,12783,15347,19395,16856,16756,25022,4827,19378,23705
ENSDARG00000084828,3,1,10,11,7,0,4,1,6,11,21,5,4
ENSDARG00000084784,3,1,2,1,1,1,3,1,1,3,1,3,3
ENSDARG00000095951,3,6,1,0,5,2,2,0,1,4,0,3,0
ENSDARG00000093924,1,4,0,0,32,0,1,1,0,2,1,1,1
ENSDARG00000084451,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000031737,4,6,5,44,27,13,58,19,4,6,3,3,11
ENSDARG00000099652,337,956,555,596,2988,535,656,673,434,900,284,709,637
ENSDARG00000101047,245,174,211,224,395,216,313,303,214,320,62,295,290
ENSDARG00000102104,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000099833,120,275,104,155,551,155,180,157,126,209,63,127,144
ENSDARG00000103870,6,80,6,8,102,8,10,3,7,10,8,12,7
ENSDARG00000096118,275,311,165,124,296,139,218,131,125,228,145,196,190
ENSDARG00000045900,91,227,46,81,765,93,84,70,47,65,65,59,58
ENSDARG00000016968,389,864,525,638,3691,580,759,708,457,808,317,714,715
ENSDARG00000102878,470,304,598,516,567,522,726,758,452,792,130,632,586
ENSDARG00000059311,341,351,282,270,245,143,201,143,63,173,55,147,146
ENSDARG00000017386,359,140,322,434,348,390,572,605,194,452,48,277,260
ENSDARG00000045898,640,181,882,1265,385,360,730,782,785,1645,138,684,1572
ENSDARG00000006060,252,292,236,471,605,183,366,191,291,448,45,165,334
ENSDARG00000103050,0,3,1,4,6,0,1,0,1,2,3,0,3
ENSDARG00000104018,761,825,1296,969,1302,957,1386,1057,797,1370,209,963,1310
ENSDARG00000070535,2,117,0,0,121,1,0,1,1,4,34,3,0
ENSDARG00000013789,8,13,4,33,131,14,14,8,20,8,10,19,13
ENSDARG00000063686,271,177,406,471,579,446,572,524,384,443,183,540,500
ENSDARG00000087962,431,824,455,632,2140,405,599,451,357,794,153,439,647
ENSDARG00000099313,123,55,77,80,134,101,137,89,127,117,30,103,152
ENSDARG00000103102,10,39,2,11,71,14,12,14,3,8,14,9,7
ENSDARG00000102157,1,9,1,0,4,0,0,0,0,1,2,0,1
ENSDARG00000098612,3,0,0,2,1,0,2,1,0,0,1,0,0
ENSDARG00000100898,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000102340,4,81,22,8,155,26,21,22,13,12,11,16,10
ENSDARG00000099129,91,25,131,340,209,267,311,288,137,164,38,163,61
ENSDARG00000101813,2092,3265,3127,2255,9630,1937,2953,2573,2050,3754,964,2510,3253
ENSDARG00000098551,0,16,1,1,15,0,2,0,0,1,3,1,1
ENSDARG00000025601,0,3,2,0,19,7,7,2,1,0,26,1,0
ENSDARG00000063672,90,250,111,135,753,91,121,92,82,188,37,169,156
ENSDARG00000018149,399,190,1691,911,508,886,966,1074,544,1432,272,962,1057
ENSDARG00000095920,9,7,2,0,23,3,4,5,1,0,4,4,0
ENSDARG00000045886,4187,2319,7816,5804,5616,7373,8113,9931,3739,8405,1375,10059,9640
ENSDARG00000045885,497,358,615,742,1094,735,885,794,524,866,162,728,743
ENSDARG00000007413,365,597,275,388,2069,332,442,335,242,418,128,338,354
ENSDARG00000097341,40,16,20,13,20,19,17,19,12,19,1,14,16
ENSDARG00000045880,92,43,110,137,144,162,116,131,91,96,16,132,71
ENSDARG00000009657,143,111,171,146,229,150,183,137,120,185,61,145,172
ENSDARG00000093658,141,119,155,161,267,256,219,307,148,166,70,227,155
ENSDARG00000026839,99,183,66,98,302,102,132,114,82,153,42,109,100
ENSDARG00000016979,330,172,625,940,638,720,969,669,588,1135,88,595,703
ENSDARG00000070477,212,182,235,249,508,216,363,306,222,488,47,396,472
ENSDARG00000045878,33,176,72,62,668,36,59,57,21,82,28,50,43
ENSDARG00000045877,435,366,408,435,710,379,543,422,386,674,179,586,613
ENSDARG00000079391,368,172,299,230,254,297,429,285,245,381,162,337,350
ENSDARG00000015921,143,121,176,148,333,159,202,141,153,299,58,246,303
ENSDARG00000099520,0,4,0,0,2,0,1,2,0,0,0,0,1
ENSDARG00000061544,58,19,102,129,42,56,88,52,29,104,22,43,60
ENSDARG00000020812,1,1,1,7,15,3,3,2,1,2,0,1,3
ENSDARG00000094007,0,1,2,0,4,0,1,0,0,0,2,0,0
ENSDARG00000093685,0,2,0,0,1,1,0,0,0,0,0,0,0
ENSDARG00000059196,0,1,5,9,4,1,5,1,3,4,0,0,7
ENSDARG00000009262,87,42,84,126,72,77,112,77,43,144,22,62,154
ENSDARG00000018618,585,462,503,532,1039,452,584,463,395,639,110,474,604
ENSDARG00000045874,191,325,174,139,500,157,202,164,111,210,193,167,184
ENSDARG00000057468,2,1,4,9,5,4,8,2,3,9,1,6,9
ENSDARG00000045873,17,32,34,23,96,29,31,21,17,29,11,25,11
ENSDARG00000079143,16,14,32,48,59,43,38,40,15,26,10,20,41
ENSDARG00000057714,24,17,18,16,18,22,26,27,25,11,6,20,21
ENSDARG00000045224,13,3,19,32,20,18,24,19,8,20,4,10,23
ENSDARG00000011246,91,112,140,146,238,76,191,127,106,255,67,139,222
ENSDARG00000053709,2,21,0,4,24,0,0,2,2,6,4,1,3
ENSDARG00000039724,6,10,12,7,56,9,2,3,2,5,13,2,6
ENSDARG00000070441,26,12,45,75,136,58,60,74,19,40,23,41,46
ENSDARG00000011961,50,39,86,59,113,56,89,77,42,70,8,81,85
ENSDARG00000008986,27,143,18,8,444,13,26,17,20,18,57,32,26
ENSDARG00000008235,53,65,90,83,135,75,106,76,74,88,23,79,84
ENSDARG00000004592,11,20,43,18,40,23,42,18,16,44,14,19,21
ENSDARG00000006567,94,72,92,84,146,84,117,97,62,144,17,106,91
ENSDARG00000016231,31,82,44,56,255,45,55,57,33,62,17,39,49
ENSDARG00000016749,25,37,41,34,159,7,28,21,11,31,15,16,44
ENSDARG00000004227,19,17,59,27,61,23,35,25,16,55,22,19,25
ENSDARG00000006038,205,172,184,135,275,116,193,142,116,240,74,187,183
ENSDARG00000045870,435,402,339,355,753,400,403,370,247,458,91,328,282
ENSDARG00000060248,25,35,24,45,48,30,42,34,19,18,9,23,27
ENSDARG00000017757,266,185,186,232,420,303,423,181,210,175,25,361,219
ENSDARG00000030598,54,47,160,199,324,230,274,247,128,144,31,96,94
ENSDARG00000077356,7,21,10,11,157,9,21,4,5,9,9,15,3
ENSDARG00000097907,8,8,5,3,6,7,7,10,5,4,2,9,1
ENSDARG00000089860,9,6,9,35,34,15,30,10,21,22,12,10,32
ENSDARG00000097073,0,0,0,0,2,0,1,0,0,0,0,0,0
ENSDARG00000039843,34,76,30,9,203,30,27,25,13,30,10,30,24
ENSDARG00000077654,0,13,6,3,76,5,6,1,1,9,5,4,7
ENSDARG00000080242,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000070414,2,0,0,1,6,0,2,0,3,1,0,1,1
ENSDARG00000067495,0,1,0,0,1,0,2,0,0,0,0,1,0
ENSDARG00000045867,0,0,0,0,3,0,1,0,1,0,0,2,0
ENSDARG00000095979,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000094531,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSDARG00000033296,34,23,79,68,75,107,112,160,54,110,18,91,42
ENSDARG00000104357,1,0,0,1,0,0,0,0,0,0,0,0,1
ENSDARG00000006283,252,174,147,162,269,195,219,177,185,223,48,189,172
