zfish_id,human_symbol,human_ensg,gene_name
ENSDARG00000063905,MT-CO1,ENSDARG00000063905,mt-co1
ENSDARG00000099420,NME1,ENSDARG00000099420,nme2b.2
ENSDARG00000043457,GAPDH,ENSDARG00000043457,gapdh
ENSDARG00000035458,ATP1A4,ENSDARG00000035458,atp2a1l
ENSDARG00000017441,MYL1,ENSDARG00000017441,mylz3
ENSDARG00000063908,MT-CO2,ENSDARG00000063908,mt-co2
ENSDARG00000063912,MT-CO3,ENSDARG00000063912,mt-co3
ENSDARG00000063924,MT-CYB,ENSDARG00000063924,mt-cyb
ENSDARG00000068457,TNNT3,ENSDARG00000068457,tnnt3b
ENSDARG00000063911,MT-ATP6,ENSDARG00000063911,mt-atp6
ENSDARG00000092553,SLC25A5,ENSDARG00000092553,slc25a5
ENSDARG00000011665,ALDOA,ENSDARG00000011665,aldoaa
ENSDARG00000000563,TTN,ENSDARG00000000563,ttn.1
ENSDARG00000013752,TNNI2,ENSDARG00000013752,tnni2a.3
ENSDARG00000028213,TTN,ENSDARG00000028213,ttn.2
ENSDARG00000001950,AK1,ENSDARG00000001950,ak1
ENSDARG00000051783,RPLP0,ENSDARG00000051783,rplp0
ENSDARG00000004757,YBX1,ENSDARG00000004757,ybx1
ENSDARG00000070083,ATP5F1B,ENSDARG00000070083,atp5f1b
ENSDARG00000003795,IDH2,ENSDARG00000003795,idh2
ENSDARG00000039007,ENO3,ENSDARG00000039007,eno3
ENSDARG00000063917,MT-ND4,ENSDARG00000063917,mt-nd4
ENSDARG00000077291,RPS2,ENSDARG00000077291,rps2
ENSDARG00000092693,TPT1,ENSDARG00000092693,tpt1
ENSDARG00000099974,LDB3,ENSDARG00000099974,ldb3b
ENSDARG00000043371,MDH2,ENSDARG00000043371,mdh2
ENSDARG00000020574,ATP1A4,ENSDARG00000020574,atp2a1
ENSDARG00000063895,MT-ND1,ENSDARG00000063895,mt-nd1
ENSDARG00000010149,ATP5F1A,ENSDARG00000010149,atp5fa1
ENSDARG00000037870,ACTB,ENSDARG00000037870,actb2
ENSDARG00000037870,ACTG1,ENSDARG00000037870,actb2
ENSDARG00000029995,TNNI2,ENSDARG00000029995,tnni2b.2
ENSDARG00000056119,EEF1G,ENSDARG00000056119,eef1g
ENSDARG00000063899,MT-ND2,ENSDARG00000063899,mt-nd2
ENSDARG00000013623,VDAC2,ENSDARG00000013623,vdac2
ENSDARG00000003081,MYBPH,ENSDARG00000003081,mybphb
ENSDARG00000019181,RPSA,ENSDARG00000019181,rpsa
ENSDARG00000019181,RPSA2,ENSDARG00000019181,rpsa
ENSDARG00000014196,MYL1,ENSDARG00000014196,myl1
ENSDARG00000003599,RPL3,ENSDARG00000003599,rpl3
ENSDARG00000041182,RPL4,ENSDARG00000041182,rpl4
ENSDARG00000099860,PKM,ENSDARG00000099860,pkmb
ENSDARG00000063921,MT-ND5,ENSDARG00000063921,mt-nd5
ENSDARG00000058451,RPL6,ENSDARG00000058451,rpl6
ENSDARG00000099499,NDUFA4,ENSDARG00000099499,ndufa4l
ENSDARG00000025566,SLC25A3,ENSDARG00000025566,slc25a3b
ENSDARG00000014867,RPL8,ENSDARG00000014867,rpl8
ENSDARG00000009280,SMYD1,ENSDARG00000009280,smyd1a
ENSDARG00000077236,HSPB6,ENSDARG00000077236,hspb6
ENSDARG00000007320,RPL7,ENSDARG00000007320,rpl7
ENSDARG00000101251,LDHA,ENSDARG00000101251,ldha
ENSDARG00000034470,ALDOA,ENSDARG00000034470,aldoab
ENSDARG00000041619,RACK1,ENSDARG00000041619,rack1
ENSDARG00000014690,RPS4Y1,ENSDARG00000014690,rps4x
ENSDARG00000014690,RPS4X,ENSDARG00000014690,rps4x
ENSDARG00000014690,RPS4Y2,ENSDARG00000014690,rps4x
ENSDARG00000029150,HSP90AB1,ENSDARG00000029150,hsp90ab1
ENSDARG00000054588,COX6A1,ENSDARG00000054588,cox6a2
ENSDARG00000019778,RPS6,ENSDARG00000019778,rps6
ENSDARG00000042566,RPS7,ENSDARG00000042566,rps7
ENSDARG00000032970,COX4I1,ENSDARG00000032970,cox4i1
ENSDARG00000013307,RPL19,ENSDARG00000013307,rpl19
ENSDARG00000015551,FTH1,ENSDARG00000015551,fth1a
ENSDARG00000041435,UBA52,ENSDARG00000041435,uba52
ENSDARG00000009285,RPL15,ENSDARG00000009285,rpl15
ENSDARG00000029439,ATP1A4,ENSDARG00000029439,atp2a2a
ENSDARG00000007344,TCAP,ENSDARG00000007344,tcap
ENSDARG00000021864,RPLP1,ENSDARG00000021864,rplp1
ENSDARG00000090768,POMZP3,ENSDARG00000090768,zgc_173556
ENSDARG00000090768,ZP3,ENSDARG00000090768,zgc_173556
ENSDARG00000099104,RPL24,ENSDARG00000099104,rpl24
ENSDARG00000055518,PYGM,ENSDARG00000055518,pygma
ENSDARG00000099517,ADSS1,ENSDARG00000099517,adssl1
ENSDARG00000043453,RPS5,ENSDARG00000043453,rps5
ENSDARG00000033832,AMPD1,ENSDARG00000033832,ampd1
ENSDARG00000063922,MT-ND6,ENSDARG00000063922,mt-nd6
ENSDARG00000001788,ATP5PO,ENSDARG00000001788,atp5po
ENSDARG00000104682,TPM2,ENSDARG00000104682,tpm2
ENSDARG00000055996,RPS8,ENSDARG00000055996,rps8a
ENSDARG00000053365,RPL31,ENSDARG00000053365,rpl31
ENSDARG00000009830,HDLBP,ENSDARG00000009830,hdlbpa
ENSDARG00000043509,RPL11,ENSDARG00000043509,rpl11
ENSDARG00000034897,RPS10,ENSDARG00000034897,rps10
ENSDARG00000102291,EEF1D,ENSDARG00000102291,eef1da
ENSDARG00000036629,RPS14,ENSDARG00000036629,rps14
ENSDARG00000101406,RPLP2,ENSDARG00000101406,rplp2
ENSDARG00000006316,RPL23A,ENSDARG00000006316,rpl23a
ENSDARG00000099380,RPL13,ENSDARG00000099380,rpl13
ENSDARG00000007745,UQCRFS1,ENSDARG00000007745,uqcrfs1
ENSDARG00000039997,PTP4A3,ENSDARG00000039997,ptp4a3a
ENSDARG00000045514,ATP5F1C,ENSDARG00000045514,atp5f1c
ENSDARG00000030602,RPS19,ENSDARG00000030602,rps19
ENSDARG00000103364,CS,ENSDARG00000103364,cs
ENSDARG00000020197,RPL5,ENSDARG00000020197,rpl5a
ENSDARG00000005513,NACA,ENSDARG00000005513,naca
ENSDARG00000074242,SERBP1,ENSDARG00000074242,serbp1a
ENSDARG00000029533,RPL18,ENSDARG00000029533,rpl18
ENSDARG00000025073,RPL18A,ENSDARG00000025073,rpl18a
ENSDARG00000039347,RPS24,ENSDARG00000039347,rps24
ENSDARG00000031952,MB,ENSDARG00000031952,mb
ENSDARG00000057556,RPL17,ENSDARG00000057556,rpl17
ENSDARG00000101324,APOA1,ENSDARG00000101324,apoa1b
ENSDARG00000053058,RPS11,ENSDARG00000053058,rps11
ENSDARG00000046157,RPS17,ENSDARG00000046157,RPS17
ENSDARG00000037860,COX6B2,ENSDARG00000037860,cox6b2
ENSDARG00000038900,ACADM,ENSDARG00000038900,acadm
ENSDARG00000110698,MYOM2,ENSDARG00000110698,CABZ01061524.1
ENSDARG00000020890,TMOD4,ENSDARG00000020890,tmod4
ENSDARG00000054191,PGK1,ENSDARG00000054191,pgk1
ENSDARG00000054191,PGK2,ENSDARG00000054191,pgk1
ENSDARG00000063914,MT-ND3,ENSDARG00000063914,mt-nd3
ENSDARG00000011553,ATP5PB,ENSDARG00000011553,atp5pb
ENSDARG00000075433,MYOM2,ENSDARG00000075433,myom2a
ENSDARG00000017219,PABPC1L2B,ENSDARG00000017219,pabpc1a
ENSDARG00000017219,PABPC1L2A,ENSDARG00000017219,pabpc1a
ENSDARG00000053457,RPL23,ENSDARG00000053457,rpl23
ENSDARG00000015128,RPL27,ENSDARG00000015128,rpl27
ENSDARG00000041811,RPS25,ENSDARG00000041811,rps25
ENSDARG00000012688,EIF1,ENSDARG00000012688,eif1b
ENSDARG00000031164,TUBA4A,ENSDARG00000031164,tuba8l2
ENSDARG00000062592,MYL10,ENSDARG00000062592,myl10
ENSDARG00000018334,RPL35,ENSDARG00000018334,rpl35
ENSDARG00000005526,IGSF22,ENSDARG00000005526,igfn1.1
ENSDARG00000071331,RYR3,ENSDARG00000071331,ryr3
ENSDARG00000011405,RPS9,ENSDARG00000011405,rps9
ENSDARG00000068738,COX5B,ENSDARG00000068738,cox5b2
ENSDARG00000101777,PDLIM5,ENSDARG00000101777,pdlim5a
ENSDARG00000098355,ATP5PD,ENSDARG00000098355,atp5pd
ENSDARG00000005791,RPL28,ENSDARG00000005791,rpl28
ENSDARG00000100392,RPS18,ENSDARG00000100392,rps18
